sep=,
"Time","iowait","irq","nice","softirq","steal","system","user"
2023-02-08 01:04:00,0%,0%,0%,0%,0%,0.0250%,0.0250%
2023-02-08 01:04:15,0%,0%,0%,0%,0%,0%,0.0250%
2023-02-08 01:04:30,0%,0%,0%,0%,0%,0.0500%,0%
2023-02-08 01:04:45,0%,0%,0%,0%,0%,0.0500%,0.0750%
2023-02-08 01:05:00,0%,0%,0%,0%,0%,0.0750%,0.0250%
2023-02-08 01:05:15,0%,0%,0%,0%,0.0250%,0%,0.0750%
2023-02-08 01:05:30,0%,0%,0%,0%,0%,0.0750%,0.125%
2023-02-08 01:05:45,0%,0%,0%,0%,0.0250%,0.0500%,0.0500%
2023-02-08 01:06:00,0%,0%,0%,0%,0%,0.0250%,0.0500%
2023-02-08 01:06:15,0%,0%,0%,0%,0.0750%,0.0500%,0.0750%
2023-02-08 01:06:30,0%,0%,0%,0%,0.0250%,0%,0.100%
2023-02-08 01:06:45,0%,0%,0%,0%,0%,0.0250%,0.1000%
2023-02-08 01:07:00,0%,0%,0%,0%,0.0250%,0.0250%,0%
2023-02-08 01:07:15,0%,0%,0%,0%,0%,0%,0.0500%
2023-02-08 01:07:30,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 01:07:45,0%,0%,0%,0%,0%,0.0250%,0.0250%
2023-02-08 01:08:00,0%,0%,0%,0%,0.0250%,0.0500%,0.0500%
2023-02-08 01:08:15,0%,0%,0%,0%,0.0500%,0.0500%,0.1000%
2023-02-08 01:08:30,0%,0%,0%,0%,0.0250%,0.0750%,0.0750%
2023-02-08 01:08:45,0%,0%,0%,0%,0.0250%,0%,0.1000%
2023-02-08 01:09:00,0%,0%,0%,0%,0%,0.0500%,0.0250%
2023-02-08 01:09:15,0%,0%,0%,0%,0.0250%,0%,0.0750%
2023-02-08 01:09:30,0%,0%,0%,0%,0%,0.0500%,0.0500%
2023-02-08 01:09:45,0%,0%,0%,0%,0.0750%,0.0750%,0%
2023-02-08 01:10:00,0%,0%,0%,0%,0%,0%,0.0750%
2023-02-08 01:10:15,0%,0%,0%,0%,0.0500%,0.0500%,0%
2023-02-08 01:10:30,0%,0%,0%,0%,0%,0.100%,0.0750%
2023-02-08 01:10:45,0%,0%,0%,0%,0%,0.0500%,0.0750%
2023-02-08 01:11:00,0%,0%,0%,0%,0.0500%,0%,0.0250%
2023-02-08 01:11:15,0%,0%,0%,0%,0%,0.0500%,0.0750%
2023-02-08 01:11:30,0%,0%,0%,0%,0.0250%,0.0750%,0.0500%
2023-02-08 01:11:45,0%,0%,0%,0%,0.0250%,0%,0.0750%
2023-02-08 01:12:00,0%,0%,0%,0%,0.0250%,0.0500%,0.0500%
2023-02-08 01:12:15,0%,0%,0%,0%,0.0250%,0.0750%,0.125%
2023-02-08 01:12:30,0%,0%,0%,0%,0%,0.0250%,0.0750%
2023-02-08 01:12:45,0%,0%,0%,0%,0.0250%,0.0250%,0.0750%
2023-02-08 01:13:00,0%,0%,0%,0%,0%,0.0500%,0.0500%
2023-02-08 01:13:15,0%,0%,0%,0%,0.0500%,0.0250%,0.0250%
2023-02-08 01:13:30,0%,0%,0%,0%,0.0750%,0.0250%,0.0500%
2023-02-08 01:13:45,0%,0%,0%,0%,0.0250%,0.0750%,0.0250%
2023-02-08 01:14:00,0%,0%,0%,0%,0%,0.100%,0.0750%
2023-02-08 01:14:15,0%,0%,0%,0%,0.0500%,0.0250%,0.0250%
2023-02-08 01:14:30,0%,0%,0%,0%,0.0750%,0.175%,0.0750%
2023-02-08 01:14:45,0%,0%,0%,0%,0%,0.0500%,0.0500%
2023-02-08 01:15:00,0%,0%,0%,0%,0.0250%,0%,0.0500%
2023-02-08 01:15:15,0%,0%,0%,0%,0.0500%,0.0500%,0.0500%
