"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-01 22:34:00,0%,0%,0%,0%,0.1000%,0%,0.200%
2023-04-01 22:34:05,0%,0%,0%,0%,0.400%,0.100%,0.500%
2023-04-01 22:34:10,0%,0%,0%,0%,0.400%,0.100%,0.500%
2023-04-01 22:34:15,0%,0%,0%,0%,0.1000%,0%,0.200%
2023-04-01 22:34:20,0%,0%,0%,0%,0.1000%,0%,0.200%
2023-04-01 22:34:25,0%,0%,0%,0%,0.100%,0.100%,0.200%
2023-04-01 22:34:30,0%,0%,0%,0%,0.100%,0.100%,0.200%
2023-04-01 22:34:35,0%,0%,0%,4.90%,4.10%,4.70%,12.0%
2023-04-01 22:34:40,0%,0%,0%,4.90%,4.10%,4.70%,12.0%
2023-04-01 22:34:45,0%,0%,0%,6.50%,5.50%,6.20%,9.10%
2023-04-01 22:34:50,0%,0%,0%,6.50%,5.50%,6.20%,9.10%
2023-04-01 22:34:55,0%,0%,0%,4.20%,4.10%,5.90%,11.9%
2023-04-01 22:35:00,0%,0%,0%,4.20%,4.10%,5.90%,11.9%
2023-04-01 22:35:05,0%,0%,0%,7.30%,9.20%,5.90%,12.6%
2023-04-01 22:35:10,0%,0%,0%,7.30%,9.20%,5.90%,12.6%
2023-04-01 22:35:15,0%,0%,0%,6.50%,7.80%,5.30%,12.4%
2023-04-01 22:35:20,0%,0%,0%,6.50%,7.80%,5.30%,12.4%
2023-04-01 22:35:25,0%,0%,0%,4.30%,4.90%,4.30%,9.10%
2023-04-01 22:35:30,0%,0%,0%,4.30%,4.90%,4.30%,9.10%
2023-04-01 22:35:35,0.1000%,0%,0%,4.80%,4.00%,6.00%,12.7%
2023-04-01 22:35:40,0.1000%,0%,0%,4.80%,4.00%,6.00%,12.7%
2023-04-01 22:35:45,0%,0%,0%,3.20%,2.50%,3.40%,11.8%
2023-04-01 22:35:50,0%,0%,0%,3.20%,2.50%,3.40%,11.8%
2023-04-01 22:35:55,0%,0%,0%,3.80%,3.40%,4.00%,11.8%
