"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-04-01 22:34:00,10.4 kB/s,0 kB/s,16.8 kB/s,61.5 kB/s,0 kB/s,13.2 kB/s
2023-04-01 22:34:05,2.80 kB/s,0 kB/s,56.5 kB/s,54.9 kB/s,0 kB/s,4.20 kB/s
2023-04-01 22:34:10,2.80 kB/s,0 kB/s,56.5 kB/s,54.9 kB/s,0 kB/s,4.20 kB/s
2023-04-01 22:34:15,10.4 kB/s,0 kB/s,58.8 kB/s,72.3 kB/s,0 kB/s,13.2 kB/s
2023-04-01 22:34:20,10.4 kB/s,0 kB/s,58.8 kB/s,72.3 kB/s,0 kB/s,13.2 kB/s
2023-04-01 22:34:25,10.4 kB/s,0 kB/s,49 kB/s,68.1 kB/s,0 kB/s,13.2 kB/s
2023-04-01 22:34:30,10.4 kB/s,0 kB/s,49 kB/s,68.1 kB/s,0 kB/s,13.2 kB/s
2023-04-01 22:34:35,3.19 GB/s,0 kB/s,11.2 kB/s,2.06 GB/s,0 kB/s,3.20 GB/s
2023-04-01 22:34:40,3.19 GB/s,0 kB/s,11.2 kB/s,2.06 GB/s,0 kB/s,3.20 GB/s
2023-04-01 22:34:45,1.37 GB/s,0 kB/s,17 kB/s,1.08 GB/s,0 kB/s,1.38 GB/s
2023-04-01 22:34:50,1.37 GB/s,0 kB/s,17 kB/s,1.08 GB/s,0 kB/s,1.38 GB/s
2023-04-01 22:34:55,3.17 GB/s,0 kB/s,11.2 kB/s,1.90 GB/s,0 kB/s,3.18 GB/s
2023-04-01 22:35:00,3.17 GB/s,0 kB/s,11.2 kB/s,1.90 GB/s,0 kB/s,3.18 GB/s
2023-04-01 22:35:05,2.65 GB/s,0 kB/s,17.4 kB/s,1.73 GB/s,0 kB/s,2.66 GB/s
2023-04-01 22:35:10,2.65 GB/s,0 kB/s,17.4 kB/s,1.73 GB/s,0 kB/s,2.66 GB/s
