"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-02 11:18:10,0%,0%,0%,0%,0.200%,0%,0.200%
2023-04-02 11:18:20,0%,0%,0%,0%,0.100%,0.100%,0.300%
2023-04-02 11:18:30,0%,0%,0%,0.400%,0.300%,0.700%,3.60%
2023-04-02 11:18:40,0%,0%,0%,7.90%,7.20%,9.10%,18.6%
2023-04-02 11:18:50,0%,0%,0%,6.10%,8.10%,6.20%,11.6%
2023-04-02 11:19:00,0%,0%,0%,5.20%,5.90%,5.20%,19.7%
2023-04-02 11:19:10,0%,0%,0%,7.40%,11.7%,5.50%,12.5%
2023-04-02 11:19:20,0%,0%,0%,6.50%,10.3%,5.80%,16.1%
2023-04-02 11:19:30,0%,0%,0%,5.60%,7.00%,4.60%,10.8%
2023-04-02 11:19:40,0%,0%,0%,3.20%,3.40%,3.60%,12.3%
2023-04-02 11:19:50,0%,0%,0%,5.60%,7.00%,5%,16.9%
2023-04-02 11:20:00,0%,0%,0%,3.40%,3.00%,2.20%,8.80%
2023-04-02 11:20:10,0%,0%,0%,3.70%,4.50%,3.40%,14.1%
2023-04-02 11:20:20,0%,0%,0%,8.20%,10.5%,6.60%,15.5%
2023-04-02 11:20:30,0%,0%,0%,4.40%,5.90%,3.70%,14.8%
2023-04-02 11:20:40,0%,0%,0%,6.80%,9.00%,4.60%,15.8%
2023-04-02 11:20:50,0%,0%,0%,4.10%,3.80%,3.60%,15.1%
2023-04-02 11:21:00,0%,0%,0%,3.20%,2.60%,3.20%,8.70%
2023-04-02 11:21:10,0%,0%,0%,8.10%,9.30%,6.80%,11.6%
2023-04-02 11:21:20,0%,0%,0%,5.50%,6.60%,5.80%,12.1%
2023-04-02 11:21:30,0%,0%,0%,2.50%,4.00%,2.90%,6.00%
2023-04-02 11:21:40,0%,0%,0%,5.20%,6.00%,4.80%,8.90%
2023-04-02 11:21:50,0%,0%,0%,3.30%,4.40%,2.40%,7.10%
2023-04-02 11:22:00,0%,0%,0%,3.10%,4.00%,3.00%,7.40%
2023-04-02 11:22:10,0.200%,0%,0%,2.70%,6.50%,3.00%,4.60%
2023-04-02 11:22:20,0%,0%,0%,1.90%,2.70%,2.50%,7.30%
2023-04-02 11:22:30,0%,0%,0%,3.40%,4.20%,3.90%,7.70%
2023-04-02 11:22:40,0%,0%,0%,2.50%,3.10%,3.70%,9.10%
2023-04-02 11:22:50,0%,0%,0%,1.60%,1.40%,2.00%,7.20%
2023-04-02 11:23:00,0%,0%,0%,1.40%,1.50%,1.50%,6.20%
2023-04-02 11:23:10,0%,0%,0%,1.10%,1.10%,1.20%,5.60%
2023-04-02 11:23:20,0%,0%,0%,2.30%,1.50%,2.00%,10%
2023-04-02 11:23:30,0%,0%,0%,2.90%,3.30%,3.50%,7.80%
2023-04-02 11:23:40,0%,0%,0%,2.80%,3.50%,2.90%,9.60%
2023-04-02 11:23:50,0%,0%,0%,3.80%,3.30%,5.10%,8.80%
2023-04-02 11:24:00,0%,0%,0%,4.10%,3.20%,4.80%,11.0%
2023-04-02 11:24:10,0%,0%,0%,3.00%,3.30%,3.50%,10.2%
2023-04-02 11:24:20,0%,0%,0%,2.60%,2.30%,2.80%,7.60%
2023-04-02 11:24:30,0%,0%,0%,4.20%,4.60%,4.40%,11.6%
2023-04-02 11:24:40,0.1000%,0%,0%,2.40%,2.10%,2.80%,9.40%
2023-04-02 11:24:50,0%,0%,0%,4.70%,5.30%,5.50%,7.30%
2023-04-02 11:25:00,0%,0%,0%,3.90%,5.30%,4.80%,3.60%
2023-04-02 11:25:10,0.1000%,0%,0%,4.20%,6.80%,3.60%,6.60%
2023-04-02 11:25:20,0%,0%,0%,3.30%,5.30%,3.10%,8.50%
2023-04-02 11:25:30,0%,0%,0%,3.10%,3.70%,2.80%,8.80%
2023-04-02 11:25:40,0%,0%,0%,1.50%,1.80%,1.20%,6.70%
2023-04-02 11:25:50,0%,0%,0%,3.40%,3.20%,3.90%,14.2%
2023-04-02 11:26:00,0%,0%,0%,4.20%,5.70%,3.50%,3.70%
2023-04-02 11:26:10,0%,0%,0%,0.200%,0.300%,0.500%,1.70%
2023-04-02 11:26:20,0%,0%,0%,1.50%,2.70%,2.30%,2.30%
2023-04-02 11:26:30,0%,0%,0%,0%,0.100%,0.100%,0%
2023-04-02 11:26:40,0%,0%,0%,0.400%,0.800%,1.000%,1.70%
2023-04-02 11:26:50,0%,0%,0%,0.600%,1.10%,0.900%,2.90%
2023-04-02 11:27:00,0%,0%,0%,1.40%,1.60%,1.10%,1.10%
2023-04-02 11:27:10,0%,0%,0%,0.800%,1.20%,1.00%,1.50%
2023-04-02 11:27:20,0%,0%,0%,0.200%,0.200%,0.300%,3.10%
2023-04-02 11:27:30,0%,0%,0%,1.40%,2.20%,1.10%,1.60%
2023-04-02 11:27:40,0%,0%,0%,1.80%,2.80%,2.70%,4.20%
2023-04-02 11:27:50,0%,0%,0%,0.600%,0.800%,0.800%,2.10%
2023-04-02 11:28:00,0%,0%,0%,0.600%,1.00%,0.600%,0.400%
2023-04-02 11:28:10,0%,0%,0%,0.400%,0.500%,0.300%,4.80%
2023-04-02 11:28:20,0%,0%,0%,2.20%,3.40%,2.20%,5.20%
2023-04-02 11:28:30,0%,0%,0%,1.90%,3.30%,2.30%,3.70%
2023-04-02 11:28:40,0%,0%,0%,3.60%,3.50%,2.30%,4.60%
2023-04-02 11:28:50,0%,0%,0%,0.400%,0.300%,0.600%,4.70%
2023-04-02 11:29:00,0%,0%,0%,0.700%,1.10%,1.10%,2.70%
2023-04-02 11:29:10,0%,0%,0%,1.10%,2.00%,1.20%,3.30%
2023-04-02 11:29:20,0%,0%,0%,1.50%,3.30%,2.10%,3.50%
2023-04-02 11:29:30,0%,0%,0%,0.400%,0.700%,0.300%,0.500%
2023-04-02 11:29:40,0.100%,0%,0%,0.100%,0.200%,0.1000%,1.70%
2023-04-02 11:29:50,0%,0%,0%,0.200%,0.1000%,0.200%,1.90%
2023-04-02 11:30:00,0%,0%,0%,0%,0.100%,0.100%,0.100%
2023-04-02 11:30:10,0%,0%,0%,0.400%,1.10%,0.500%,1.80%
2023-04-02 11:30:20,0%,0%,0%,0%,0.1000%,0.100%,0.200%
2023-04-02 11:30:30,0%,0%,0%,0.700%,1.000%,1.10%,2.80%
2023-04-02 11:30:40,0%,0%,0%,0%,0.200%,0.1000%,0.300%
2023-04-02 11:30:50,0%,0%,0%,0.500%,0.600%,0.400%,0.700%
2023-04-02 11:31:00,0%,0%,0%,1.10%,2.80%,0.800%,2.10%
2023-04-02 11:31:10,0%,0%,0%,1.70%,4.30%,1.50%,2.00%
2023-04-02 11:31:20,0%,0%,0%,0.500%,0.600%,0.900%,3.50%
2023-04-02 11:31:30,0%,0%,0%,0.100%,0.200%,0.1000%,1.40%
2023-04-02 11:31:40,0%,0%,0%,0.200%,0.200%,0.300%,1.60%
2023-04-02 11:31:50,0%,0%,0%,0.600%,1.000%,0.800%,0.800%
2023-04-02 11:32:00,0.1000%,0%,0%,0.200%,0.200%,0.100%,1.50%
2023-04-02 11:32:10,0%,0%,0%,1.90%,3.20%,2.00%,2.70%
2023-04-02 11:32:20,0%,0%,0%,2.00%,2.80%,2.60%,6.30%
2023-04-02 11:32:30,0%,0%,0%,2.90%,4.70%,2.60%,9.30%
2023-04-02 11:32:40,0%,0%,0%,1.80%,2.90%,2.70%,9.30%
2023-04-02 11:32:50,0%,0%,0%,0.400%,0.600%,0.700%,3.30%
2023-04-02 11:33:00,0%,0%,0%,2.40%,2.90%,2.60%,9.50%
2023-04-02 11:33:10,0%,0%,0%,2.90%,3.30%,3.10%,5.30%
2023-04-02 11:33:20,0%,0%,0%,4.90%,8.20%,4.40%,7.60%
2023-04-02 11:33:30,0%,0%,0%,2.70%,4.70%,2.70%,10.1%
2023-04-02 11:33:40,0%,0%,0%,2.70%,3.70%,2.90%,8.10%
2023-04-02 11:33:50,0%,0%,0%,2.20%,2.50%,2.30%,6.00%
2023-04-02 11:34:00,0%,0%,0%,1.40%,2.20%,0.900%,4.50%
2023-04-02 11:34:10,0%,0%,0%,3.40%,3.80%,2.80%,5%
2023-04-02 11:34:20,0%,0%,0%,2.30%,2.80%,2.20%,3.30%
2023-04-02 11:34:30,0%,0%,0%,3.70%,5%,4.80%,7.40%
2023-04-02 11:34:40,0%,0%,0%,1.30%,1.70%,0.800%,4.30%
2023-04-02 11:34:50,0%,0%,0%,3.00%,4.30%,4.40%,7.40%
2023-04-02 11:35:00,0%,0%,0%,2.30%,3.20%,2.70%,7.00%
2023-04-02 11:35:10,0.1000%,0%,0%,6.50%,8.90%,4.40%,12.2%
2023-04-02 11:35:20,0.100%,0%,0%,4.90%,7.30%,5.30%,8.30%
2023-04-02 11:35:30,0%,0%,0%,1.70%,2.60%,1.90%,7.40%
2023-04-02 11:35:40,0.300%,0%,0%,1.70%,4.50%,2.90%,9.40%
