"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","timeToFail"
"2023-04-02 11:18:10","1680409090000","0%","0%","0%","0%","0.200%","0%","0.200%","328 MiB","14.0 MiB","412 MiB","216 MiB","5.20 kB/s","0 kB/s","5.60 kB/s","54.9 kB/s","0 kB/s","6.60 kB/s","6.60 kB/s","0 kB/s","5.40 kB/s","952 kB/s","0 kB/s","6.60 kB/s","1608352"
"2023-04-02 11:18:20","1680409100000","0%","0%","0%","0%","0.100%","0.100%","0.300%","328 MiB","14.0 MiB","412 MiB","216 MiB","8 kB/s","0 kB/s","56.5 kB/s","65.7 kB/s","0 kB/s","10.8 kB/s","10.8 kB/s","0 kB/s","288 kB/s","962 kB/s","0 kB/s","10.8 kB/s","1598352"
"2023-04-02 11:18:30","1680409110000","0%","0%","0%","0.400%","0.300%","0.700%","3.60%","334 MiB","14.0 MiB","412 MiB","210 MiB","215 MB/s","0 kB/s","0 kB/s","598 MB/s","0 kB/s","216 MB/s","598 MB/s","0 kB/s","0 kB/s","217 MB/s","0 kB/s","598 MB/s","1588352"
"2023-04-02 11:18:40","1680409120000","0%","0%","0%","7.90%","7.20%","9.10%","18.6%","343 MiB","14.0 MiB","412 MiB","200 MiB","5.04 GB/s","0 kB/s","0 kB/s","2.78 GB/s","0 kB/s","5.06 GB/s","2.78 GB/s","0 kB/s","0 kB/s","5.06 GB/s","0 kB/s","2.78 GB/s","1578352"
"2023-04-02 11:18:50","1680409130000","0%","0%","0%","6.10%","8.10%","6.20%","11.6%","343 MiB","14.0 MiB","412 MiB","200 MiB","2.82 GB/s","0 kB/s","0 kB/s","1.83 GB/s","0 kB/s","2.83 GB/s","1.83 GB/s","0 kB/s","0 kB/s","2.83 GB/s","0 kB/s","1.83 GB/s","1568352"
"2023-04-02 11:19:00","1680409140000","0%","0%","0%","5.20%","5.90%","5.20%","19.7%","344 MiB","14.0 MiB","412 MiB","200 MiB","4.83 GB/s","0 kB/s","0 kB/s","3.25 GB/s","0 kB/s","4.84 GB/s","3.25 GB/s","0 kB/s","0 kB/s","4.84 GB/s","0 kB/s","3.25 GB/s","1558352"
"2023-04-02 11:19:10","1680409150000","0%","0%","0%","7.40%","11.7%","5.50%","12.5%","344 MiB","14.0 MiB","412 MiB","199 MiB","3.18 GB/s","0 kB/s","5.60 kB/s","1.81 GB/s","0 kB/s","3.19 GB/s","1.80 GB/s","0 kB/s","5.40 kB/s","3.20 GB/s","0 kB/s","1.80 GB/s","1548352"
"2023-04-02 11:19:20","1680409160000","0%","0%","0%","6.50%","10.3%","5.80%","16.1%","340 MiB","14.0 MiB","412 MiB","204 MiB","4.21 GB/s","0 kB/s","83 kB/s","2.63 GB/s","0 kB/s","4.22 GB/s","2.63 GB/s","0 kB/s","77.4 kB/s","4.22 GB/s","0 kB/s","2.63 GB/s","1538352"
"2023-04-02 11:19:30","1680409170000","0%","0%","0%","5.60%","7.00%","4.60%","10.8%","340 MiB","14.0 MiB","412 MiB","203 MiB","2.23 GB/s","0 kB/s","11.2 kB/s","1.47 GB/s","0 kB/s","2.24 GB/s","1.47 GB/s","0 kB/s","5.40 kB/s","2.24 GB/s","0 kB/s","1.47 GB/s","1528352"
"2023-04-02 11:19:40","1680409180000","0%","0%","0%","3.20%","3.40%","3.60%","12.3%","340 MiB","14.0 MiB","412 MiB","203 MiB","3.59 GB/s","0 kB/s","5.80 kB/s","2.22 GB/s","0 kB/s","3.60 GB/s","2.22 GB/s","0 kB/s","5.40 kB/s","3.60 GB/s","0 kB/s","2.22 GB/s","1518352"
