"Time","iowait","irq","nice","softirq","steal","system","user","Used","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","timestamp"
"2023-04-02 11:20:35","0%","0%","0%","6.80%","9.00%","4.60%","15.8%","338 MiB","3.86 GB/s","0 kB/s","5.80 kB/s","2.52 GB/s","0 kB/s","3.87 GB/s","1680409235000"
"2023-04-02 11:20:40","0%","0%","0%","6.80%","9.00%","4.60%","15.8%","338 MiB","3.86 GB/s","0 kB/s","5.80 kB/s","2.52 GB/s","0 kB/s","3.87 GB/s","1680409240000"
"2023-04-02 11:20:45","0%","0%","0%","4.10%","3.80%","3.60%","15.1%","338 MiB","4.43 GB/s","0 kB/s","5.60 kB/s","2.67 GB/s","0 kB/s","4.44 GB/s","1680409245000"
"2023-04-02 11:20:50","0%","0%","0%","4.10%","3.80%","3.60%","15.1%","338 MiB","4.43 GB/s","0 kB/s","5.60 kB/s","2.67 GB/s","0 kB/s","4.44 GB/s","1680409250000"
"2023-04-02 11:20:55","0%","0%","0%","3.20%","2.60%","3.20%","8.70%","338 MiB","2.08 GB/s","0 kB/s","51.7 kB/s","1.32 GB/s","0 kB/s","2.08 GB/s","1680409255000"
"2023-04-02 11:21:00","0%","0%","0%","3.20%","2.60%","3.20%","8.70%","338 MiB","2.08 GB/s","0 kB/s","51.7 kB/s","1.32 GB/s","0 kB/s","2.08 GB/s","1680409260000"
"2023-04-02 11:21:05","0%","0%","0%","8.10%","9.30%","6.80%","11.6%","342 MiB","1.87 GB/s","0 kB/s","11.6 kB/s","1.34 GB/s","0 kB/s","1.88 GB/s","1680409265000"
"2023-04-02 11:21:10","0%","0%","0%","8.10%","9.30%","6.80%","11.6%","342 MiB","1.87 GB/s","0 kB/s","11.6 kB/s","1.34 GB/s","0 kB/s","1.88 GB/s","1680409270000"
"2023-04-02 11:21:15","0%","0%","0%","5.50%","6.60%","5.80%","12.1%","340 MiB","2.43 GB/s","0 kB/s","5.80 kB/s","1.53 GB/s","0 kB/s","2.45 GB/s","1680409275000"
"2023-04-02 11:21:20","0%","0%","0%","5.50%","6.60%","5.80%","12.1%","340 MiB","2.43 GB/s","0 kB/s","5.80 kB/s","1.53 GB/s","0 kB/s","2.45 GB/s","1680409280000"
