"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-02 12:01:20,1.09 GB/s,0 kB/s,11.6 kB/s,701 MB/s,0 kB/s,1.10 GB/s,701 MB/s,0 kB/s,9.60 kB/s,1.10 GB/s,0 kB/s,701 MB/s
2023-04-02 12:01:30,1.59 GB/s,0 kB/s,0 kB/s,1.05 GB/s,0 kB/s,1.60 GB/s,1.05 GB/s,0 kB/s,0 kB/s,1.60 GB/s,0 kB/s,1.05 GB/s
2023-04-02 12:01:40,1.19 GB/s,0 kB/s,5.60 kB/s,761 MB/s,0 kB/s,1.20 GB/s,761 MB/s,0 kB/s,5.40 kB/s,1.20 GB/s,0 kB/s,761 MB/s
2023-04-02 12:01:50,1.10 GB/s,0 kB/s,0 kB/s,707 MB/s,0 kB/s,1.10 GB/s,706 MB/s,0 kB/s,0 kB/s,1.10 GB/s,0 kB/s,706 MB/s
2023-04-02 12:02:00,1.55 GB/s,0 kB/s,0 kB/s,987 MB/s,0 kB/s,1.55 GB/s,986 MB/s,0 kB/s,0 kB/s,1.55 GB/s,0 kB/s,986 MB/s
2023-04-02 12:02:10,1.08 GB/s,0 kB/s,17.2 kB/s,706 MB/s,0 kB/s,1.09 GB/s,706 MB/s,0 kB/s,9.60 kB/s,1.09 GB/s,0 kB/s,706 MB/s
2023-04-02 12:02:20,520 MB/s,0 kB/s,106 kB/s,342 MB/s,0 kB/s,522 MB/s,341 MB/s,0 kB/s,125 kB/s,523 MB/s,0 kB/s,341 MB/s
2023-04-02 12:02:30,1.08 GB/s,0 kB/s,0 kB/s,687 MB/s,0 kB/s,1.08 GB/s,687 MB/s,0 kB/s,0 kB/s,1.08 GB/s,0 kB/s,687 MB/s
2023-04-02 12:02:40,1.06 GB/s,0 kB/s,11.2 kB/s,677 MB/s,0 kB/s,1.07 GB/s,677 MB/s,0 kB/s,5.40 kB/s,1.07 GB/s,0 kB/s,677 MB/s
2023-04-02 12:02:50,1.74 GB/s,0 kB/s,11.2 kB/s,1.13 GB/s,0 kB/s,1.75 GB/s,1.13 GB/s,0 kB/s,14.9 kB/s,1.75 GB/s,0 kB/s,1.13 GB/s
2023-04-02 12:03:00,1.18 GB/s,0 kB/s,6 kB/s,758 MB/s,0 kB/s,1.19 GB/s,758 MB/s,0 kB/s,4.20 kB/s,1.19 GB/s,0 kB/s,758 MB/s
2023-04-02 12:03:10,1.99 GB/s,0 kB/s,11.2 kB/s,1.27 GB/s,0 kB/s,2.00 GB/s,1.27 GB/s,0 kB/s,5.40 kB/s,2.00 GB/s,0 kB/s,1.27 GB/s
2023-04-02 12:03:20,1.63 GB/s,0 kB/s,17.9 kB/s,1.02 GB/s,0 kB/s,1.64 GB/s,1.02 GB/s,0 kB/s,20.5 kB/s,1.64 GB/s,0 kB/s,1.02 GB/s
2023-04-02 12:03:30,2.53 GB/s,0 kB/s,0 kB/s,1.92 GB/s,0 kB/s,2.53 GB/s,1.92 GB/s,0 kB/s,0 kB/s,2.54 GB/s,0 kB/s,1.92 GB/s
2023-04-02 12:03:40,1.66 GB/s,0 kB/s,104 kB/s,717 MB/s,0 kB/s,1.67 GB/s,717 MB/s,0 kB/s,102 kB/s,1.67 GB/s,0 kB/s,717 MB/s
2023-04-02 12:03:50,1.64 GB/s,0 kB/s,16.8 kB/s,1.09 GB/s,0 kB/s,1.65 GB/s,1.09 GB/s,0 kB/s,10.8 kB/s,1.65 GB/s,0 kB/s,1.09 GB/s
2023-04-02 12:04:00,5.82 GB/s,0 kB/s,14.6 kB/s,3.68 GB/s,0 kB/s,5.84 GB/s,3.68 GB/s,0 kB/s,9 kB/s,5.84 GB/s,0 kB/s,3.68 GB/s
2023-04-02 12:04:10,4.64 GB/s,0 kB/s,11.8 kB/s,2.98 GB/s,0 kB/s,4.65 GB/s,2.98 GB/s,0 kB/s,9.60 kB/s,4.66 GB/s,0 kB/s,2.98 GB/s
2023-04-02 12:04:20,1.80 GB/s,0 kB/s,56.5 kB/s,3.24 GB/s,0 kB/s,1.82 GB/s,3.24 GB/s,0 kB/s,287 kB/s,1.82 GB/s,0 kB/s,3.24 GB/s
