sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth14c94da receive"
2023-02-08 00:58:45,907 kB/s,0 kB/s,123 kB/s,710 kB/s,0 kB/s,931 kB/s
2023-02-08 00:59:00,487 kB/s,0 kB/s,116 kB/s,391 kB/s,0 kB/s,511 kB/s
2023-02-08 00:59:15,556 kB/s,0 kB/s,87.9 kB/s,462 kB/s,0 kB/s,571 kB/s
2023-02-08 00:59:30,144 kB/s,0 kB/s,46.6 kB/s,145 kB/s,0 kB/s,155 kB/s
2023-02-08 00:59:45,472 kB/s,0 kB/s,105 kB/s,380 kB/s,0 kB/s,496 kB/s
2023-02-08 01:00:00,1.05 MB/s,0 kB/s,110 kB/s,832 kB/s,0 kB/s,1.08 MB/s
2023-02-08 01:00:15,192 kB/s,0 kB/s,63.5 kB/s,184 kB/s,0 kB/s,204 kB/s
2023-02-08 01:00:30,134 kB/s,0 kB/s,52.3 kB/s,134 kB/s,0 kB/s,145 kB/s
2023-02-08 01:00:45,847 kB/s,0 kB/s,122 kB/s,665 kB/s,0 kB/s,874 kB/s
2023-02-08 01:01:00,941 kB/s,0 kB/s,121 kB/s,739 kB/s,0 kB/s,965 kB/s
2023-02-08 01:01:15,289 kB/s,0 kB/s,63.5 kB/s,261 kB/s,0 kB/s,300 kB/s
2023-02-08 01:01:30,190 kB/s,0 kB/s,52.5 kB/s,184 kB/s,0 kB/s,200 kB/s
2023-02-08 01:01:45,786 kB/s,0 kB/s,110 kB/s,618 kB/s,0 kB/s,811 kB/s
2023-02-08 01:02:00,538 kB/s,0 kB/s,98.9 kB/s,438 kB/s,0 kB/s,561 kB/s
2023-02-08 01:02:15,510 kB/s,0 kB/s,58.1 kB/s,433 kB/s,0 kB/s,524 kB/s
2023-02-08 01:02:30,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:02:45,5.20 kB/s,0 kB/s,0 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:03:00,5.20 kB/s,0 kB/s,85.8 kB/s,54.9 kB/s,0 kB/s,6.60 kB/s
2023-02-08 01:03:15,8.00 kB/s,0 kB/s,5.60 kB/s,59.1 kB/s,0 kB/s,10.8 kB/s
