"Time","Used","Buffer","Cached","Free"
2023-04-16 00:54:20,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:54:30,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:54:40,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:54:50,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:55:00,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:55:10,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:55:20,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:55:30,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:55:40,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:55:50,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:56:00,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:56:10,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:56:20,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:56:30,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:56:40,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 00:56:50,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:57:00,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:57:10,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:57:20,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:57:30,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 00:57:40,369 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:57:50,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:58:00,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:58:10,369 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:58:20,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:58:30,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:58:40,370 MiB,31.1 MiB,405 MiB,164 MiB
2023-04-16 00:58:50,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 00:59:00,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 00:59:10,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:59:20,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:59:30,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 00:59:40,381 MiB,31.1 MiB,405 MiB,152 MiB
2023-04-16 00:59:50,380 MiB,31.1 MiB,405 MiB,153 MiB
2023-04-16 01:00:00,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:00:10,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:00:20,381 MiB,31.1 MiB,405 MiB,153 MiB
2023-04-16 01:00:30,378 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:00:40,376 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:00:50,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:01:00,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:01:10,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 01:01:20,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 01:01:30,380 MiB,31.1 MiB,405 MiB,154 MiB
2023-04-16 01:01:40,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:01:50,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:02:00,379 MiB,31.1 MiB,405 MiB,154 MiB
2023-04-16 01:02:10,378 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:02:20,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:02:30,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 01:02:40,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:02:50,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:03:00,371 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 01:03:10,378 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:03:20,374 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:03:30,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:03:40,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:03:50,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:04:00,372 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:04:10,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:04:20,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:04:30,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:04:40,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:04:50,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:05:00,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:05:10,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:05:20,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:05:30,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:05:40,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 01:05:50,375 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:06:00,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:06:10,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:06:20,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:06:30,378 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 01:06:40,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:06:50,379 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:07:00,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:07:10,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:07:20,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:07:30,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:07:40,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 01:07:50,383 MiB,31.1 MiB,405 MiB,150 MiB
2023-04-16 01:08:00,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:08:10,364 MiB,31.1 MiB,405 MiB,169 MiB
2023-04-16 01:08:20,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 01:08:30,371 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 01:08:40,376 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:08:50,377 MiB,31.1 MiB,405 MiB,156 MiB
2023-04-16 01:09:00,379 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:09:10,379 MiB,31.1 MiB,405 MiB,155 MiB
2023-04-16 01:09:20,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:09:30,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:09:40,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:09:50,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:00,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:10,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:20,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:30,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:40,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:10:50,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:11:00,377 MiB,31.1 MiB,405 MiB,157 MiB
2023-04-16 01:11:10,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:11:20,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:11:30,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:11:40,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:11:50,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:00,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:10,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:20,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:30,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:40,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:12:50,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:13:00,375 MiB,31.1 MiB,405 MiB,159 MiB
2023-04-16 01:13:10,376 MiB,31.1 MiB,405 MiB,158 MiB
2023-04-16 01:13:20,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 01:13:30,379 MiB,31.1 MiB,405 MiB,154 MiB
2023-04-16 01:13:40,388 MiB,31.1 MiB,405 MiB,145 MiB
2023-04-16 01:13:50,380 MiB,31.1 MiB,405 MiB,154 MiB
2023-04-16 01:14:00,380 MiB,31.1 MiB,405 MiB,153 MiB
2023-04-16 01:14:10,370 MiB,31.1 MiB,405 MiB,163 MiB
2023-04-16 01:14:20,365 MiB,31.1 MiB,405 MiB,169 MiB
2023-04-16 01:14:30,363 MiB,31.1 MiB,405 MiB,171 MiB
2023-04-16 01:14:40,363 MiB,31.1 MiB,405 MiB,171 MiB
2023-04-16 01:14:50,367 MiB,31.1 MiB,405 MiB,167 MiB
2023-04-16 01:15:00,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 01:15:10,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 01:15:20,372 MiB,31.1 MiB,405 MiB,162 MiB
2023-04-16 01:15:30,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:15:40,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:15:50,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:00,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:10,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:20,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:30,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:40,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:16:50,373 MiB,31.1 MiB,405 MiB,161 MiB
2023-04-16 01:17:00,373 MiB,31.1 MiB,405 MiB,160 MiB
2023-04-16 01:17:10,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:17:20,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:17:30,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:17:40,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:17:50,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:18:00,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:18:10,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:18:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:18:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:18:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:18:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:00,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:19:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:00,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:10,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:20:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:21:00,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:21:10,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:21:20,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:21:30,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:21:40,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:21:50,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:00,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:10,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:20,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:30,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:40,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:22:50,371 MiB,31.2 MiB,405 MiB,162 MiB
2023-04-16 01:23:00,375 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:23:10,375 MiB,31.2 MiB,405 MiB,158 MiB
2023-04-16 01:23:20,375 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:23:30,375 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:23:40,375 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:23:50,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:00,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:10,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:20,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:30,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:40,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:24:50,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:00,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:10,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:20,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:30,373 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:40,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:25:50,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:26:00,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:26:10,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:26:20,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:26:30,372 MiB,31.2 MiB,405 MiB,161 MiB
2023-04-16 01:26:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:26:50,374 MiB,31.2 MiB,405 MiB,159 MiB
2023-04-16 01:27:00,379 MiB,31.2 MiB,405 MiB,154 MiB
2023-04-16 01:27:10,377 MiB,31.2 MiB,405 MiB,156 MiB
2023-04-16 01:27:20,383 MiB,31.2 MiB,405 MiB,150 MiB
2023-04-16 01:27:30,368 MiB,31.2 MiB,405 MiB,165 MiB
2023-04-16 01:27:40,364 MiB,31.2 MiB,405 MiB,169 MiB
2023-04-16 01:27:50,376 MiB,31.2 MiB,405 MiB,157 MiB
2023-04-16 01:28:00,382 MiB,31.2 MiB,405 MiB,151 MiB
2023-04-16 01:28:10,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:28:20,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:28:30,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:28:40,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:28:50,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:00,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:10,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:20,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:30,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:40,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:29:50,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:30:00,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:30:10,369 MiB,31.2 MiB,405 MiB,164 MiB
2023-04-16 01:30:20,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:30:30,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:30:40,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:30:50,373 MiB,31.2 MiB,405 MiB,160 MiB
2023-04-16 01:31:00,373 MiB,31.2 MiB,405 MiB,160 MiB
