"Time","Timestamp","iowait [Ratios]","irq [Ratios]","nice [Ratios]","softirq [Ratios]","steal [Ratios]","system [Ratios]","user [Ratios]","Used [MiB]","Buffer [MiB]","Cached [MiB]","Free [MiB]","br-10cd1f6f3899 receive [MB/s]","docker0 receive [MB/s]","eth0 receive [MB/s]","eth1 receive [MB/s]","lo receive [MB/s]","veth6750e95 receive [MB/s]","br-10cd1f6f3899 transmit [MB/s]","docker0 transmit [MB/s]","eth0 transmit [MB/s]","eth1 transmit [MB/s]","lo transmit [MB/s]","veth6750e95 transmit [MB/s]","TimeToFail"
"2023-04-16 00:40:50","1681580450000","0","0","0","0","0","0.002","0.002","365","31.1","405","169","0.005200000000000001","0","0","0.0615","0","0.0066","0.0066","0","0","0.9570000000000001","0","0.0066","1613946"
"2023-04-16 00:41:00","1681580460000","0","0","0","0","0.001","0","0.001","365","31.1","405","169","0.005200000000000001","0","0.0058","0.0615","0","0.0066","0.0066","0","0.0054","0.9580000000000001","0","0.0066","1603946"
"2023-04-16 00:41:10","1681580470000","0","0","0","0","0","0.001","0.002","365","31.1","405","169","0.016","0","0","0.0723","0","0.0216","0.0216","0","0","0.97","0","0.0216","1593946"
"2023-04-16 00:41:20","1681580480000","0","0","0","0.026000000000000002","0.017","0.045","0.10099999999999999","372","31.1","405","161","2290","0","0","1510","0","2300","1510","0","0","2300","0","1510","1583946"
"2023-04-16 00:41:30","1681580490000","0","0","0","0.038","0.026000000000000002","0.037000000000000005","0.14400000000000002","371","31.1","405","163","3790","0","0.016800000000000002","2390","0","3800","2390","0","0.0108","3800","0","2390","1573946"
"2023-04-16 00:41:40","1681580500000","0","0","0","0.026000000000000002","0.011000000000000001","0.043","0.153","368","31.1","405","165","4600","0","0.0145","2870","0","4610","2870","0","0.0155","4610","0","2870","1563946"
"2023-04-16 00:41:50","1681580510000","0","0","0","0.036000000000000004","0.016","0.044000000000000004","0.12","372","31.1","405","161","3570","0","0.0565","2250","0","3580","2250","0","0.291","3580","0","2250","1553946"
"2023-04-16 00:42:00","1681580520000","0","0","0","0.053","0.026000000000000002","0.064","0.156","376","31.1","405","157","4010","0","0.0146","2670","0","4019.9999999999995","2670","0","0.014400000000000001","4030.0000000000005","0","2670","1543946"
"2023-04-16 00:42:10","1681580530000","0","0","0","0.022000000000000002","0.011000000000000001","0.033","0.11800000000000001","376","31.1","405","157","3910","0","0.018600000000000002","2360","0","3920","2360","0","0.0156","3920","0","2360","1533946"
"2023-04-16 00:42:20","1681580540000","0","0","0","0.024","0.01","0.03","0.12","374","31.1","405","159","3910","0","0.0172","2440","0","3910","2440","0","0.0156","3920","0","2440","1523946"
"2023-04-16 00:42:30","1681580550000","0","0","0","0.021","0.006","0.023","0.114","372","31.1","405","162","3710","0","0","2340","0","3720","2340","0","0","3720","0","2340","1513946"
"2023-04-16 00:42:40","1681580560000","0","0","0","0.045","0.019","0.061","0.179","368","31.1","405","166","4540","0","0","3080","0","4550","3080","0","0","4550","0","3080","1503946"
"2023-04-16 00:42:50","1681580570000","0","0","0","0.013999999999999999","0.008","0.027999999999999997","0.14300000000000002","368","31.1","405","165","4770","0","0","3060","0","4780","3060","0","0","4780","0","3060","1493946"
"2023-04-16 00:43:00","1681580580000","0","0","0","0.03","0.023","0.040999999999999995","0.14800000000000002","368","31.1","405","165","4520","0","0","2550","0","4530","2550","0","0","4530","0","2550","1483946"
"2023-04-16 00:43:10","1681580590000","0","0","0","0.052000000000000005","0.028999999999999998","0.067","0.079","368","31.1","405","165","998","0","0.023","858","0","1010","858","0","0.020399999999999998","1020","0","858","1473946"
"2023-04-16 00:43:20","1681580600000","0","0","0","0.032","0.015","0.037000000000000005","0.094","368","31.1","405","165","2590","0","0.0114","1690","0","2600","1690","0","0.0108","2540","0","1690","1463946"
"2023-04-16 00:43:30","1681580610000","0","0","0","0.044000000000000004","0.026000000000000002","0.059000000000000004","0.10800000000000001","368","31.1","405","165","2580","0","0.0056","1630","0","2600","1630","0","0.0054","2670","0","1630","1453946"
"2023-04-16 00:43:40","1681580620000","0","0","0","0.031","0.015","0.044000000000000004","0.075","372","31.1","405","161","1300","0","0","888","0","1310","888","0","0","1310","0","888","1443946"
"2023-04-16 00:43:50","1681580630000","0","0","0","0.046","0.016","0.057","0.095","372","31.1","405","161","1900","0","0.0565","1300","0","1920","1300","0","0.291","1920","0","1300","1433946"
"2023-04-16 00:44:00","1681580640000","0","0","0","0.043","0.02","0.053","0.106","370","31.1","405","164","1940","0","0","1340","0","1960","1340","0","0","1960","0","1340","1423946"
"2023-04-16 00:44:10","1681580650000","0","0","0","0.028999999999999998","0.015","0.034","0.07200000000000001","374","31.1","405","159","1700","0","0.0058","1090","0","1710","1090","0","0.0054","1710","0","1090","1413946"
"2023-04-16 00:44:20","1681580660000","0","0","0","0.016","0.006","0.013000000000000001","0.076","374","31.1","405","159","2430","0","0","1520","0","2440","1520","0","0","2440","0","1520","1403946"
"2023-04-16 00:44:30","1681580670000","0","0","0","0.008","0.003","0.008","0.053","374","31.1","405","159","2020","0","0.0114","1250","0","2020","1250","0","0.0108","2020","0","1250","1393946"
"2023-04-16 00:44:40","1681580680000","0","0","0","0.025","0.013999999999999999","0.031","0.083","370","31.1","405","164","2270","0","0.006","1440","0","2280","1440","0","0.004200000000000001","2280","0","1440","1383946"
"2023-04-16 00:44:50","1681580690000","0","0","0","0.013000000000000001","0.006","0.024","0.066","370","31.1","405","163","2230","0","0.0188","1410","0","2230","1410","0","0.0162","2240","0","1410","1373946"
"2023-04-16 00:45:00","1681580700000","0","0","0","0.027999999999999997","0.012","0.03","0.098","370","31.1","405","163","3140","0","0.0172","1980","0","3150","1980","0","0.014199999999999999","3150","0","1980","1363946"
"2023-04-16 00:45:10","1681580710000","0","0","0","0.027000000000000003","0.017","0.039","0.073","370","31.1","405","163","1730","0","0.0112","1110","0","1740","1110","0","0.0054","1740","0","1110","1353946"
"2023-04-16 00:45:20","1681580720000","0","0","0","0.039","0.021","0.04","0.067","361","31.1","405","172","1270","0","0.006","869","0","1280","869","0","0.004200000000000001","1280","0","869","1343946"
"2023-04-16 00:45:30","1681580730000","0","0","0","0.023","0.009000000000000001","0.033","0.07400000000000001","370","31.1","405","164","1640","0","0","1060","0","1650","1060","0","0","1650","0","1060","1333946"
"2023-04-16 00:45:40","1681580740000","0","0","0","0.03","0.013000000000000001","0.04","0.07200000000000001","370","31.1","405","163","1740","0","0.0114","1150","0","1750","1150","0","0.0108","1750","0","1150","1323946"
"2023-04-16 00:45:50","1681580750000","0","0","0","0.023","0.009000000000000001","0.035","0.09300000000000001","370","31.1","405","163","2790","0","0.0737","1760","0","2800","1760","0","0.306","2800","0","1760","1313946"
"2023-04-16 00:46:00","1681580760000","0","0","0","0.02","0.01","0.028999999999999998","0.044000000000000004","368","31.1","405","166","1000","0","0.0058","657","0","1010","657","0","0.0054","1010","0","657","1303946"
"2023-04-16 00:46:10","1681580770000","0","0","0","0.025","0.022000000000000002","0.03","0.105","368","31.1","405","166","2750","0","0.039299999999999995","1740","0","2760","1740","0","0.0385","2760","0","1740","1293946"
"2023-04-16 00:46:20","1681580780000","0","0","0","0.034","0.02","0.026000000000000002","0.064","368","31.1","405","166","1630","0","0.0058","1070","0","1640","1070","0","0.0054","1640","0","1070","1283946"
"2023-04-16 00:46:30","1681580790000","0","0","0","0.034","0.016","0.043","0.087","372","31.1","405","162","1840","0","0.0112","1240","0","1850","1240","0","0.0054","1860","0","1240","1273946"
"2023-04-16 00:46:40","1681580800000","0","0","0","0.031","0.015","0.032","0.09699999999999999","372","31.1","405","162","2600","0","0.0286","1630","0","2610","1630","0","0.020399999999999998","2610","0","1630","1263946"
"2023-04-16 00:46:50","1681580810000","0","0","0","0.021","0.013999999999999999","0.04","0.067","372","31.1","405","162","1270","0","0.0224","872","0","1280","872","0","0.0162","1280","0","872","1253946"
"2023-04-16 00:47:00","1681580820000","0","0","0","0.026000000000000002","0.013000000000000001","0.048","0.066","370","31.1","405","164","1190","0","0","831","0","1200","831","0","0","1200","0","831","1243946"
