"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-16 00:40:50,5.20 kB/s,0 kB/s,0 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s,6.60 kB/s,0 kB/s,0 kB/s,957 kB/s,0 kB/s,6.60 kB/s
2023-04-16 00:41:00,5.20 kB/s,0 kB/s,5.80 kB/s,61.5 kB/s,0 kB/s,6.60 kB/s,6.60 kB/s,0 kB/s,5.40 kB/s,958 kB/s,0 kB/s,6.60 kB/s
2023-04-16 00:41:10,16 kB/s,0 kB/s,0 kB/s,72.3 kB/s,0 kB/s,21.6 kB/s,21.6 kB/s,0 kB/s,0 kB/s,970 kB/s,0 kB/s,21.6 kB/s
2023-04-16 00:41:20,2.29 GB/s,0 kB/s,0 kB/s,1.51 GB/s,0 kB/s,2.30 GB/s,1.51 GB/s,0 kB/s,0 kB/s,2.30 GB/s,0 kB/s,1.51 GB/s
2023-04-16 00:41:30,3.79 GB/s,0 kB/s,16.8 kB/s,2.39 GB/s,0 kB/s,3.80 GB/s,2.39 GB/s,0 kB/s,10.8 kB/s,3.80 GB/s,0 kB/s,2.39 GB/s
2023-04-16 00:41:40,4.60 GB/s,0 kB/s,14.5 kB/s,2.87 GB/s,0 kB/s,4.61 GB/s,2.87 GB/s,0 kB/s,15.5 kB/s,4.61 GB/s,0 kB/s,2.87 GB/s
2023-04-16 00:41:50,3.57 GB/s,0 kB/s,56.5 kB/s,2.25 GB/s,0 kB/s,3.58 GB/s,2.25 GB/s,0 kB/s,291 kB/s,3.58 GB/s,0 kB/s,2.25 GB/s
2023-04-16 00:42:00,4.01 GB/s,0 kB/s,14.6 kB/s,2.67 GB/s,0 kB/s,4.02 GB/s,2.67 GB/s,0 kB/s,14.4 kB/s,4.03 GB/s,0 kB/s,2.67 GB/s
2023-04-16 00:42:10,3.91 GB/s,0 kB/s,18.6 kB/s,2.36 GB/s,0 kB/s,3.92 GB/s,2.36 GB/s,0 kB/s,15.6 kB/s,3.92 GB/s,0 kB/s,2.36 GB/s
2023-04-16 00:42:20,3.91 GB/s,0 kB/s,17.2 kB/s,2.44 GB/s,0 kB/s,3.91 GB/s,2.44 GB/s,0 kB/s,15.6 kB/s,3.92 GB/s,0 kB/s,2.44 GB/s
2023-04-16 00:42:30,3.71 GB/s,0 kB/s,0 kB/s,2.34 GB/s,0 kB/s,3.72 GB/s,2.34 GB/s,0 kB/s,0 kB/s,3.72 GB/s,0 kB/s,2.34 GB/s
2023-04-16 00:42:40,4.54 GB/s,0 kB/s,0 kB/s,3.08 GB/s,0 kB/s,4.55 GB/s,3.08 GB/s,0 kB/s,0 kB/s,4.55 GB/s,0 kB/s,3.08 GB/s
2023-04-16 00:42:50,4.77 GB/s,0 kB/s,0 kB/s,3.06 GB/s,0 kB/s,4.78 GB/s,3.06 GB/s,0 kB/s,0 kB/s,4.78 GB/s,0 kB/s,3.06 GB/s
2023-04-16 00:43:00,4.52 GB/s,0 kB/s,0 kB/s,2.55 GB/s,0 kB/s,4.53 GB/s,2.55 GB/s,0 kB/s,0 kB/s,4.53 GB/s,0 kB/s,2.55 GB/s
2023-04-16 00:43:10,998 MB/s,0 kB/s,23 kB/s,858 MB/s,0 kB/s,1.01 GB/s,858 MB/s,0 kB/s,20.4 kB/s,1.02 GB/s,0 kB/s,858 MB/s
