"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit","TimeToFail"
"2023-04-16 00:43:40","1681580620000","0%","0%","0%","3.10%","1.50%","4.40%","7.50%","372 MiB","31.1 MiB","405 MiB","161 MiB","1.30 GB/s","0 kB/s","0 kB/s","888 MB/s","0 kB/s","1.31 GB/s","888 MB/s","0 kB/s","0 kB/s","1.31 GB/s","0 kB/s","888 MB/s","1443946"
"2023-04-16 00:43:50","1681580630000","0%","0%","0%","4.60%","1.60%","5.70%","9.50%","372 MiB","31.1 MiB","405 MiB","161 MiB","1.90 GB/s","0 kB/s","56.5 kB/s","1.30 GB/s","0 kB/s","1.92 GB/s","1.30 GB/s","0 kB/s","291 kB/s","1.92 GB/s","0 kB/s","1.30 GB/s","1433946"
"2023-04-16 00:44:00","1681580640000","0%","0%","0%","4.30%","2.00%","5.30%","10.6%","370 MiB","31.1 MiB","405 MiB","164 MiB","1.94 GB/s","0 kB/s","0 kB/s","1.34 GB/s","0 kB/s","1.96 GB/s","1.34 GB/s","0 kB/s","0 kB/s","1.96 GB/s","0 kB/s","1.34 GB/s","1423946"
"2023-04-16 00:44:10","1681580650000","0%","0%","0%","2.90%","1.50%","3.40%","7.20%","374 MiB","31.1 MiB","405 MiB","159 MiB","1.70 GB/s","0 kB/s","5.80 kB/s","1.09 GB/s","0 kB/s","1.71 GB/s","1.09 GB/s","0 kB/s","5.40 kB/s","1.71 GB/s","0 kB/s","1.09 GB/s","1413946"
"2023-04-16 00:44:20","1681580660000","0%","0%","0%","1.60%","0.600%","1.30%","7.60%","374 MiB","31.1 MiB","405 MiB","159 MiB","2.43 GB/s","0 kB/s","0 kB/s","1.52 GB/s","0 kB/s","2.44 GB/s","1.52 GB/s","0 kB/s","0 kB/s","2.44 GB/s","0 kB/s","1.52 GB/s","1403946"
"2023-04-16 00:44:30","1681580670000","0%","0%","0%","0.800%","0.300%","0.800%","5.30%","374 MiB","31.1 MiB","405 MiB","159 MiB","2.02 GB/s","0 kB/s","11.4 kB/s","1.25 GB/s","0 kB/s","2.02 GB/s","1.25 GB/s","0 kB/s","10.8 kB/s","2.02 GB/s","0 kB/s","1.25 GB/s","1393946"
"2023-04-16 00:44:40","1681580680000","0%","0%","0%","2.50%","1.40%","3.10%","8.30%","370 MiB","31.1 MiB","405 MiB","164 MiB","2.27 GB/s","0 kB/s","6 kB/s","1.44 GB/s","0 kB/s","2.28 GB/s","1.44 GB/s","0 kB/s","4.20 kB/s","2.28 GB/s","0 kB/s","1.44 GB/s","1383946"
"2023-04-16 00:44:50","1681580690000","0%","0%","0%","1.30%","0.600%","2.40%","6.60%","370 MiB","31.1 MiB","405 MiB","163 MiB","2.23 GB/s","0 kB/s","18.8 kB/s","1.41 GB/s","0 kB/s","2.23 GB/s","1.41 GB/s","0 kB/s","16.2 kB/s","2.24 GB/s","0 kB/s","1.41 GB/s","1373946"
"2023-04-16 00:45:00","1681580700000","0%","0%","0%","2.80%","1.20%","3.00%","9.80%","370 MiB","31.1 MiB","405 MiB","163 MiB","3.14 GB/s","0 kB/s","17.2 kB/s","1.98 GB/s","0 kB/s","3.15 GB/s","1.98 GB/s","0 kB/s","14.2 kB/s","3.15 GB/s","0 kB/s","1.98 GB/s","1363946"
"2023-04-16 00:45:10","1681580710000","0%","0%","0%","2.70%","1.70%","3.90%","7.30%","370 MiB","31.1 MiB","405 MiB","163 MiB","1.73 GB/s","0 kB/s","11.2 kB/s","1.11 GB/s","0 kB/s","1.74 GB/s","1.11 GB/s","0 kB/s","5.40 kB/s","1.74 GB/s","0 kB/s","1.11 GB/s","1353946"
