"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-16 00:53:20,0%,0%,0%,0%,0.100%,0.200%,0.100%
2023-04-16 00:53:30,0%,0%,0%,0.500%,0.700%,1.20%,1.00%
2023-04-16 00:53:40,0%,0%,0%,0.300%,0.400%,1.00%,0.900%
2023-04-16 00:53:50,0%,0%,0%,0%,0%,0.200%,1.60%
2023-04-16 00:54:00,0%,0%,0%,0.1000%,0%,0%,1.80%
2023-04-16 00:54:10,0%,0%,0%,0.200%,0.100%,0.400%,1.70%
2023-04-16 00:54:20,0%,0%,0%,0%,0.100%,0%,0.400%
2023-04-16 00:54:30,0%,0%,0%,0.100%,0%,0.300%,1.30%
2023-04-16 00:54:40,0%,0%,0%,0.400%,0.600%,0.900%,1.00%
2023-04-16 00:54:50,0%,0%,0%,0.1000%,0%,0.100%,1.20%
2023-04-16 00:55:00,0%,0%,0%,0.500%,0.500%,1.10%,3.30%
2023-04-16 00:55:10,0%,0%,0%,1.40%,1.70%,1.90%,8.40%
2023-04-16 00:55:20,0%,0%,0%,2.00%,2.10%,1.80%,3.40%
2023-04-16 00:55:30,0%,0%,0%,0.800%,0.700%,1.70%,7.90%
2023-04-16 00:55:40,0%,0%,0%,0.900%,0.600%,1.40%,9.10%
2023-04-16 00:55:50,0%,0%,0%,0.600%,0.300%,0.800%,4.30%
2023-04-16 00:56:00,0%,0%,0%,1.60%,1.00%,2.00%,3.20%
2023-04-16 00:56:10,0%,0%,0%,1.10%,0.500%,0.700%,5.50%
2023-04-16 00:56:20,0%,0%,0%,1.30%,0.900%,2.60%,3.60%
2023-04-16 00:56:30,0%,0%,0%,1.00%,1.40%,2.20%,6.50%
2023-04-16 00:56:40,0%,0%,0%,0.900%,0.400%,1.10%,4.60%
2023-04-16 00:56:50,0%,0%,0%,0.700%,0.400%,1.20%,7.30%
2023-04-16 00:57:00,0%,0%,0%,1.40%,0.700%,1.70%,5.30%
2023-04-16 00:57:10,0%,0%,0%,2.80%,1.50%,3.00%,7.50%
2023-04-16 00:57:20,0%,0%,0%,1.40%,0.600%,2.60%,4.70%
2023-04-16 00:57:30,0%,0%,0%,2.10%,1.60%,2.30%,5.30%
2023-04-16 00:57:40,0%,0%,0%,1.70%,0.700%,2.80%,5.90%
2023-04-16 00:57:50,0%,0%,0%,1.30%,0.400%,1.30%,6.50%
2023-04-16 00:58:00,0%,0%,0%,0.700%,0.300%,1.20%,5.70%
2023-04-16 00:58:10,0%,0%,0%,1.80%,1.40%,2.80%,7.50%
2023-04-16 00:58:20,0%,0%,0%,1.70%,1.80%,2.70%,5.90%
2023-04-16 00:58:30,0%,0%,0%,1.70%,1.000%,3.10%,9.30%
2023-04-16 00:58:40,0%,0%,0%,2.30%,1.00%,3.30%,9.60%
2023-04-16 00:58:50,0%,0%,0%,1.90%,1.000%,3.70%,8.30%
2023-04-16 00:59:00,0%,0%,0%,1.10%,0.700%,2.50%,6.30%
2023-04-16 00:59:10,0%,0%,0%,2.90%,1.50%,4.00%,15.4%
2023-04-16 00:59:20,0%,0%,0%,2.90%,0.700%,3.30%,15.9%
2023-04-16 00:59:30,0%,0%,0%,4.10%,2.30%,3.40%,18.0%
2023-04-16 00:59:40,0%,0%,0%,5.10%,2.40%,4.90%,18.2%
2023-04-16 00:59:50,0%,0%,0%,6.10%,2.80%,7.10%,15.2%
2023-04-16 01:00:00,0%,0%,0%,4.50%,1.10%,6.00%,23.0%
2023-04-16 01:00:10,0%,0%,0%,2.80%,1.90%,2.20%,15.9%
2023-04-16 01:00:20,0%,0%,0%,5.10%,2.20%,5.40%,22.2%
2023-04-16 01:00:30,0%,0%,0%,5.30%,1.40%,7.00%,19.7%
2023-04-16 01:00:40,0%,0%,0%,3.80%,1.80%,5.50%,17.2%
2023-04-16 01:00:50,0%,0%,0%,5.40%,1.10%,6.40%,11.7%
2023-04-16 01:01:00,0%,0%,0%,7.50%,3.00%,8.60%,17.0%
2023-04-16 01:01:10,0%,0%,0%,8.50%,3.70%,8.60%,26.9%
2023-04-16 01:01:20,0%,0%,0%,8.10%,2.60%,8.30%,20.2%
2023-04-16 01:01:30,0%,0%,0%,7.50%,2.10%,9.70%,23.5%
2023-04-16 01:01:40,0%,0%,0%,6.10%,2.30%,7.60%,19.3%
2023-04-16 01:01:50,0%,0%,0%,3.90%,1.80%,5.70%,13.5%
2023-04-16 01:02:00,0%,0%,0%,3.50%,1.40%,4.10%,10.8%
2023-04-16 01:02:10,0%,0%,0%,4.70%,2.90%,6.00%,14.0%
2023-04-16 01:02:20,0%,0%,0%,3.70%,0.900%,5.60%,12.1%
2023-04-16 01:02:30,0%,0%,0%,4.50%,2.60%,5.10%,13.0%
2023-04-16 01:02:40,0%,0%,0%,3.50%,1.30%,4.00%,9.70%
2023-04-16 01:02:50,0%,0%,0%,3.40%,0.800%,4.20%,13.1%
2023-04-16 01:03:00,0%,0%,0%,3.80%,1.30%,4.30%,15.8%
2023-04-16 01:03:10,0%,0%,0%,4.10%,1.10%,4.60%,14.0%
2023-04-16 01:03:20,0%,0%,0%,3.90%,1.90%,5.30%,10.4%
2023-04-16 01:03:30,0%,0%,0%,2.70%,1.20%,3.50%,8.20%
2023-04-16 01:03:40,0%,0%,0%,4.50%,3.10%,5.80%,11.9%
2023-04-16 01:03:50,0%,0%,0%,4.50%,1.60%,5.20%,14.6%
2023-04-16 01:04:00,0%,0%,0%,4.70%,2.10%,5.10%,8.90%
2023-04-16 01:04:10,0%,0%,0%,5.60%,3.40%,6.80%,11.5%
2023-04-16 01:04:20,0%,0%,0%,3.20%,1.20%,4.40%,8.00%
2023-04-16 01:04:30,0%,0%,0%,2.90%,1.90%,3.50%,8.80%
2023-04-16 01:04:40,0%,0%,0%,3.30%,1.40%,3.90%,13.8%
2023-04-16 01:04:50,0%,0%,0%,2.30%,1.20%,2.80%,8.40%
2023-04-16 01:05:00,0%,0%,0%,4.40%,1.50%,4.20%,11.2%
2023-04-16 01:05:10,0%,0%,0%,3.00%,2.60%,3.00%,13.0%
2023-04-16 01:05:20,0%,0%,0%,1.90%,0.800%,3.50%,8.70%
