"Time","Used","Buffer","Cached","Free"
2023-04-16 13:48:25,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:48:30,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:48:35,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:48:40,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:48:45,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:48:50,399 MiB,34.0 MiB,415 MiB,121 MiB
2023-04-16 13:48:55,399 MiB,34.0 MiB,415 MiB,121 MiB
2023-04-16 13:49:00,397 MiB,34.0 MiB,415 MiB,123 MiB
2023-04-16 13:49:05,397 MiB,34.0 MiB,415 MiB,123 MiB
2023-04-16 13:49:10,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:49:15,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:49:20,377 MiB,34.0 MiB,415 MiB,143 MiB
2023-04-16 13:49:25,377 MiB,34.0 MiB,415 MiB,143 MiB
2023-04-16 13:49:30,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:49:35,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:49:40,370 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:49:45,370 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:49:50,371 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:49:55,371 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:50:00,371 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:50:05,371 MiB,34.0 MiB,415 MiB,149 MiB
2023-04-16 13:50:10,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:50:15,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:50:20,385 MiB,34.0 MiB,415 MiB,135 MiB
2023-04-16 13:50:25,385 MiB,34.0 MiB,415 MiB,135 MiB
2023-04-16 13:50:30,382 MiB,34.0 MiB,415 MiB,137 MiB
2023-04-16 13:50:35,382 MiB,34.0 MiB,415 MiB,137 MiB
2023-04-16 13:50:40,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:50:45,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:50:50,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:50:55,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:51:00,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:05,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:10,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:15,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:20,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:51:25,381 MiB,34.0 MiB,415 MiB,139 MiB
2023-04-16 13:51:30,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:35,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:40,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:45,379 MiB,34.0 MiB,415 MiB,141 MiB
2023-04-16 13:51:50,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:51:55,375 MiB,34.0 MiB,415 MiB,145 MiB
2023-04-16 13:52:00,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:52:05,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:52:10,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:52:15,373 MiB,34.0 MiB,415 MiB,147 MiB
2023-04-16 13:52:20,377 MiB,34.0 MiB,415 MiB,143 MiB
2023-04-16 13:52:25,377 MiB,34.0 MiB,415 MiB,143 MiB
2023-04-16 13:52:30,387 MiB,34.2 MiB,416 MiB,133 MiB
2023-04-16 13:52:35,387 MiB,34.2 MiB,416 MiB,133 MiB
2023-04-16 13:52:40,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:52:45,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:52:50,387 MiB,34.2 MiB,416 MiB,133 MiB
2023-04-16 13:52:55,387 MiB,34.2 MiB,416 MiB,133 MiB
2023-04-16 13:53:00,377 MiB,34.2 MiB,416 MiB,142 MiB
2023-04-16 13:53:05,377 MiB,34.2 MiB,416 MiB,142 MiB
2023-04-16 13:53:10,378 MiB,34.2 MiB,416 MiB,141 MiB
2023-04-16 13:53:15,378 MiB,34.2 MiB,416 MiB,141 MiB
2023-04-16 13:53:20,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:53:25,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:53:30,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:53:35,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:53:40,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:53:45,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:53:50,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:53:55,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:54:00,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:54:05,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:54:10,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:54:15,383 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:54:20,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:25,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:30,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:35,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:40,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:45,381 MiB,34.2 MiB,416 MiB,139 MiB
2023-04-16 13:54:50,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:54:55,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:00,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:05,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:10,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:15,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:20,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:25,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:30,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:35,385 MiB,34.2 MiB,416 MiB,135 MiB
2023-04-16 13:55:40,382 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:55:45,382 MiB,34.2 MiB,416 MiB,137 MiB
2023-04-16 13:55:50,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:55:55,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:00,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:05,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:10,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:15,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:20,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:25,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:30,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:35,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:40,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:45,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:50,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:56:55,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:00,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:05,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:10,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:15,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:20,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:25,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:30,380 MiB,34.2 MiB,416 MiB,140 MiB
2023-04-16 13:57:35,380 MiB,34.2 MiB,416 MiB,140 MiB
