"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
2023-04-16 13:48:25,10.4 kB/s,0 kB/s,11.4 kB/s,74.7 kB/s,0 kB/s,13.2 kB/s,19.8 kB/s,0 kB/s,10.8 kB/s,966 kB/s,0 kB/s,19.8 kB/s
2023-04-16 13:48:30,20.8 kB/s,0 kB/s,16.8 kB/s,94.5 kB/s,0 kB/s,26.4 kB/s,39.6 kB/s,0 kB/s,16.2 kB/s,979 kB/s,0 kB/s,39.6 kB/s
2023-04-16 13:48:35,20.8 kB/s,0 kB/s,16.8 kB/s,94.5 kB/s,0 kB/s,26.4 kB/s,39.6 kB/s,0 kB/s,16.2 kB/s,979 kB/s,0 kB/s,39.6 kB/s
2023-04-16 13:48:40,10.4 kB/s,0 kB/s,5.80 kB/s,68.1 kB/s,0 kB/s,13.2 kB/s,13.2 kB/s,0 kB/s,5.40 kB/s,967 kB/s,0 kB/s,13.2 kB/s
2023-04-16 13:48:45,10.4 kB/s,0 kB/s,5.80 kB/s,68.1 kB/s,0 kB/s,13.2 kB/s,13.2 kB/s,0 kB/s,5.40 kB/s,967 kB/s,0 kB/s,13.2 kB/s
2023-04-16 13:48:50,3.49 GB/s,0 kB/s,0 kB/s,2.20 GB/s,0 kB/s,3.50 GB/s,2.20 GB/s,0 kB/s,0 kB/s,3.50 GB/s,0 kB/s,2.20 GB/s
2023-04-16 13:48:55,3.49 GB/s,0 kB/s,0 kB/s,2.20 GB/s,0 kB/s,3.50 GB/s,2.20 GB/s,0 kB/s,0 kB/s,3.50 GB/s,0 kB/s,2.20 GB/s
2023-04-16 13:49:00,4.67 GB/s,0 kB/s,39.6 kB/s,2.93 GB/s,0 kB/s,4.68 GB/s,2.93 GB/s,0 kB/s,20.4 kB/s,4.68 GB/s,0 kB/s,2.93 GB/s
2023-04-16 13:49:05,4.67 GB/s,0 kB/s,39.6 kB/s,2.93 GB/s,0 kB/s,4.68 GB/s,2.93 GB/s,0 kB/s,20.4 kB/s,4.68 GB/s,0 kB/s,2.93 GB/s
2023-04-16 13:49:10,2.21 GB/s,0 kB/s,7.40 kB/s,1.45 GB/s,0 kB/s,2.23 GB/s,1.45 GB/s,0 kB/s,5.40 kB/s,2.23 GB/s,0 kB/s,1.45 GB/s
2023-04-16 13:49:15,2.21 GB/s,0 kB/s,7.40 kB/s,1.45 GB/s,0 kB/s,2.23 GB/s,1.45 GB/s,0 kB/s,5.40 kB/s,2.23 GB/s,0 kB/s,1.45 GB/s
2023-04-16 13:49:20,1.86 GB/s,0 kB/s,16.8 kB/s,1.22 GB/s,0 kB/s,1.87 GB/s,1.22 GB/s,0 kB/s,15 kB/s,1.88 GB/s,0 kB/s,1.22 GB/s
2023-04-16 13:49:25,1.86 GB/s,0 kB/s,16.8 kB/s,1.22 GB/s,0 kB/s,1.87 GB/s,1.22 GB/s,0 kB/s,15 kB/s,1.88 GB/s,0 kB/s,1.22 GB/s
2023-04-16 13:49:30,3.71 GB/s,0 kB/s,0 kB/s,2.33 GB/s,0 kB/s,3.72 GB/s,2.33 GB/s,0 kB/s,0 kB/s,3.72 GB/s,0 kB/s,2.33 GB/s
2023-04-16 13:49:35,3.71 GB/s,0 kB/s,0 kB/s,2.33 GB/s,0 kB/s,3.72 GB/s,2.33 GB/s,0 kB/s,0 kB/s,3.72 GB/s,0 kB/s,2.33 GB/s
2023-04-16 13:49:40,2.92 GB/s,0 kB/s,0 kB/s,2.17 GB/s,0 kB/s,2.93 GB/s,2.17 GB/s,0 kB/s,0 kB/s,2.93 GB/s,0 kB/s,2.17 GB/s
2023-04-16 13:49:45,2.92 GB/s,0 kB/s,0 kB/s,2.17 GB/s,0 kB/s,2.93 GB/s,2.17 GB/s,0 kB/s,0 kB/s,2.93 GB/s,0 kB/s,2.17 GB/s
2023-04-16 13:49:50,3.70 GB/s,0 kB/s,0 kB/s,2.11 GB/s,0 kB/s,3.72 GB/s,2.11 GB/s,0 kB/s,0 kB/s,3.72 GB/s,0 kB/s,2.11 GB/s
2023-04-16 13:49:55,3.70 GB/s,0 kB/s,0 kB/s,2.11 GB/s,0 kB/s,3.72 GB/s,2.11 GB/s,0 kB/s,0 kB/s,3.72 GB/s,0 kB/s,2.11 GB/s
