"Time","iowait","irq","nice","softirq","steal","system","user"
2023-04-16 13:48:25,0%,0%,0%,0%,0%,0.100%,0.200%
2023-04-16 13:48:30,0%,0%,0%,0%,0.100%,0%,0.1000%
2023-04-16 13:48:35,0%,0%,0%,0%,0.100%,0%,0.1000%
2023-04-16 13:48:40,0%,0%,0%,0%,0%,0%,0.300%
2023-04-16 13:48:45,0%,0%,0%,0%,0%,0%,0.300%
2023-04-16 13:48:50,0%,0%,0%,2.90%,0.700%,2.60%,11.4%
2023-04-16 13:48:55,0%,0%,0%,2.90%,0.700%,2.60%,11.4%
2023-04-16 13:49:00,0%,0%,0%,4.20%,3.10%,4.00%,15.3%
2023-04-16 13:49:05,0%,0%,0%,4.20%,3.10%,4.00%,15.3%
2023-04-16 13:49:10,0%,0%,0%,4.50%,4.00%,5.60%,10.9%
2023-04-16 13:49:15,0%,0%,0%,4.50%,4.00%,5.60%,10.9%
2023-04-16 13:49:20,0%,0%,0%,4.20%,2.70%,4.60%,8.80%
2023-04-16 13:49:25,0%,0%,0%,4.20%,2.70%,4.60%,8.80%
2023-04-16 13:49:30,0%,0%,0%,2.00%,1.000%,2.10%,11.0%
2023-04-16 13:49:35,0%,0%,0%,2.00%,1.000%,2.10%,11.0%
2023-04-16 13:49:40,0%,0%,0%,3.30%,1.40%,4.30%,12.6%
2023-04-16 13:49:45,0%,0%,0%,3.30%,1.40%,4.30%,12.6%
2023-04-16 13:49:50,0%,0%,0%,4.50%,1.80%,5.40%,13.6%
2023-04-16 13:49:55,0%,0%,0%,4.50%,1.80%,5.40%,13.6%
2023-04-16 13:50:00,0%,0%,0%,3.20%,1.70%,4.10%,9.00%
2023-04-16 13:50:05,0%,0%,0%,3.20%,1.70%,4.10%,9.00%
2023-04-16 13:50:10,0%,0%,0%,4.20%,3.40%,4.70%,15.3%
2023-04-16 13:50:15,0%,0%,0%,4.20%,3.40%,4.70%,15.3%
2023-04-16 13:50:20,0%,0%,0%,3.50%,1.40%,6.10%,12.9%
2023-04-16 13:50:25,0%,0%,0%,3.50%,1.40%,6.10%,12.9%
2023-04-16 13:50:30,0%,0%,0%,6.50%,3.80%,6.90%,13.9%
2023-04-16 13:50:35,0%,0%,0%,6.50%,3.80%,6.90%,13.9%
2023-04-16 13:50:40,0%,0%,0%,5.20%,2.20%,5.60%,12.9%
2023-04-16 13:50:45,0%,0%,0%,5.20%,2.20%,5.60%,12.9%
2023-04-16 13:50:50,0%,0%,0%,4.50%,1.70%,6.50%,14.2%
2023-04-16 13:50:55,0%,0%,0%,4.50%,1.70%,6.50%,14.2%
2023-04-16 13:51:00,0%,0%,0%,4.40%,2.20%,6.20%,14.0%
2023-04-16 13:51:05,0%,0%,0%,4.40%,2.20%,6.20%,14.0%
2023-04-16 13:51:10,0%,0%,0%,3.40%,1.70%,4.60%,9.70%
2023-04-16 13:51:15,0%,0%,0%,3.40%,1.70%,4.60%,9.70%
2023-04-16 13:51:20,0%,0%,0%,2.50%,0.900%,2.70%,13.0%
2023-04-16 13:51:25,0%,0%,0%,2.50%,0.900%,2.70%,13.0%
2023-04-16 13:51:30,0%,0%,0%,4.60%,1.70%,6.00%,12.5%
2023-04-16 13:51:35,0%,0%,0%,4.60%,1.70%,6.00%,12.5%
2023-04-16 13:51:40,0%,0%,0%,2.40%,2.00%,4.40%,9.70%
2023-04-16 13:51:45,0%,0%,0%,2.40%,2.00%,4.40%,9.70%
2023-04-16 13:51:50,0%,0%,0%,3.30%,1.30%,3.90%,10.4%
2023-04-16 13:51:55,0%,0%,0%,3.30%,1.30%,3.90%,10.4%
2023-04-16 13:52:00,0%,0%,0%,1.80%,1.60%,3.20%,12.1%
2023-04-16 13:52:05,0%,0%,0%,1.80%,1.60%,3.20%,12.1%
2023-04-16 13:52:10,0%,0%,0%,1.10%,1.50%,1.80%,6.40%
2023-04-16 13:52:15,0%,0%,0%,1.10%,1.50%,1.80%,6.40%
2023-04-16 13:52:20,0%,0%,0%,1.50%,0.900%,2.70%,8.40%
2023-04-16 13:52:25,0%,0%,0%,1.50%,0.900%,2.70%,8.40%
2023-04-16 13:52:30,0%,0%,50.1%,5.70%,0.600%,8.10%,28.7%
2023-04-16 13:52:35,0%,0%,50.1%,5.70%,0.600%,8.10%,28.7%
2023-04-16 13:52:40,0.1000%,0%,0%,3.10%,1.40%,3.50%,11.6%
2023-04-16 13:52:45,0.1000%,0%,0%,3.10%,1.40%,3.50%,11.6%
2023-04-16 13:52:50,0%,0%,0%,2.10%,0.700%,1.50%,7.90%
2023-04-16 13:52:55,0%,0%,0%,2.10%,0.700%,1.50%,7.90%
2023-04-16 13:53:00,0%,0%,0%,2.00%,0.800%,2.70%,7.40%
2023-04-16 13:53:05,0%,0%,0%,2.00%,0.800%,2.70%,7.40%
2023-04-16 13:53:10,0%,0%,0%,1.80%,1.40%,2.20%,6.00%
2023-04-16 13:53:15,0%,0%,0%,1.80%,1.40%,2.20%,6.00%
2023-04-16 13:53:20,0%,0%,0%,3.10%,1.60%,4.90%,9.50%
2023-04-16 13:53:25,0%,0%,0%,3.10%,1.60%,4.90%,9.50%
2023-04-16 13:53:30,0%,0%,0%,2.10%,1.50%,2.90%,6.10%
2023-04-16 13:53:35,0%,0%,0%,2.10%,1.50%,2.90%,6.10%
2023-04-16 13:53:40,0%,0%,0%,2.40%,1.60%,3.30%,5%
2023-04-16 13:53:45,0%,0%,0%,2.40%,1.60%,3.30%,5%
2023-04-16 13:53:50,0%,0%,0%,1.40%,0.500%,1.70%,8.00%
2023-04-16 13:53:55,0%,0%,0%,1.40%,0.500%,1.70%,8.00%
2023-04-16 13:54:00,0%,0%,0%,1.50%,0.800%,2.30%,8.40%
2023-04-16 13:54:05,0%,0%,0%,1.50%,0.800%,2.30%,8.40%
2023-04-16 13:54:10,0%,0%,0%,3.80%,2.40%,5.50%,8.00%
2023-04-16 13:54:15,0%,0%,0%,3.80%,2.40%,5.50%,8.00%
2023-04-16 13:54:20,0%,0%,0%,1.60%,1.00%,2.70%,9.30%
