"Time","Timestamp","iowait","irq","nice","softirq","steal","system","user","Used","Buffer","Cached","Free","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive","br-10cd1f6f3899 transmit","docker0 transmit","eth0 transmit","eth1 transmit","lo transmit","veth6750e95 transmit"
"2023-04-16 13:49:50","1681627790000","0%","0%","0%","4.50%","1.80%","5.40%","13.6%","371 MiB","34.0 MiB","415 MiB","149 MiB","3.70 GB/s","0 kB/s","0 kB/s","2.11 GB/s","0 kB/s","3.72 GB/s","2.11 GB/s","0 kB/s","0 kB/s","3.72 GB/s","0 kB/s","2.11 GB/s"
"2023-04-16 13:49:55","1681627795000","0%","0%","0%","4.50%","1.80%","5.40%","13.6%","371 MiB","34.0 MiB","415 MiB","149 MiB","3.70 GB/s","0 kB/s","0 kB/s","2.11 GB/s","0 kB/s","3.72 GB/s","2.11 GB/s","0 kB/s","0 kB/s","3.72 GB/s","0 kB/s","2.11 GB/s"
"2023-04-16 13:50:00","1681627800000","0%","0%","0%","3.20%","1.70%","4.10%","9.00%","371 MiB","34.0 MiB","415 MiB","149 MiB","2.15 GB/s","0 kB/s","74.7 kB/s","1.39 GB/s","0 kB/s","2.16 GB/s","1.39 GB/s","0 kB/s","309 kB/s","2.16 GB/s","0 kB/s","1.39 GB/s"
"2023-04-16 13:50:05","1681627805000","0%","0%","0%","3.20%","1.70%","4.10%","9.00%","371 MiB","34.0 MiB","415 MiB","149 MiB","2.15 GB/s","0 kB/s","74.7 kB/s","1.39 GB/s","0 kB/s","2.16 GB/s","1.39 GB/s","0 kB/s","309 kB/s","2.16 GB/s","0 kB/s","1.39 GB/s"
"2023-04-16 13:50:10","1681627810000","0%","0%","0%","4.20%","3.40%","4.70%","15.3%","375 MiB","34.0 MiB","415 MiB","145 MiB","4.11 GB/s","0 kB/s","0 kB/s","2.60 GB/s","0 kB/s","4.12 GB/s","2.60 GB/s","0 kB/s","0 kB/s","4.12 GB/s","0 kB/s","2.60 GB/s"
"2023-04-16 13:50:15","1681627815000","0%","0%","0%","4.20%","3.40%","4.70%","15.3%","375 MiB","34.0 MiB","415 MiB","145 MiB","4.11 GB/s","0 kB/s","0 kB/s","2.60 GB/s","0 kB/s","4.12 GB/s","2.60 GB/s","0 kB/s","0 kB/s","4.12 GB/s","0 kB/s","2.60 GB/s"
"2023-04-16 13:50:20","1681627820000","0%","0%","0%","3.50%","1.40%","6.10%","12.9%","385 MiB","34.0 MiB","415 MiB","135 MiB","3.23 GB/s","0 kB/s","16.8 kB/s","2.09 GB/s","0 kB/s","3.25 GB/s","2.09 GB/s","0 kB/s","15 kB/s","3.25 GB/s","0 kB/s","2.09 GB/s"
"2023-04-16 13:50:25","1681627825000","0%","0%","0%","3.50%","1.40%","6.10%","12.9%","385 MiB","34.0 MiB","415 MiB","135 MiB","3.23 GB/s","0 kB/s","16.8 kB/s","2.09 GB/s","0 kB/s","3.25 GB/s","2.09 GB/s","0 kB/s","15 kB/s","3.25 GB/s","0 kB/s","2.09 GB/s"
"2023-04-16 13:50:30","1681627830000","0%","0%","0%","6.50%","3.80%","6.90%","13.9%","382 MiB","34.0 MiB","415 MiB","137 MiB","2.86 GB/s","0 kB/s","33.2 kB/s","2.19 GB/s","0 kB/s","2.87 GB/s","2.19 GB/s","0 kB/s","30.2 kB/s","2.88 GB/s","0 kB/s","2.19 GB/s"
"2023-04-16 13:50:35","1681627835000","0%","0%","0%","6.50%","3.80%","6.90%","13.9%","382 MiB","34.0 MiB","415 MiB","137 MiB","2.86 GB/s","0 kB/s","33.2 kB/s","2.19 GB/s","0 kB/s","2.87 GB/s","2.19 GB/s","0 kB/s","30.2 kB/s","2.88 GB/s","0 kB/s","2.19 GB/s"
"2023-04-16 13:50:40","1681627840000","0%","0%","0%","5.20%","2.20%","5.60%","12.9%","381 MiB","34.0 MiB","415 MiB","139 MiB","3.21 GB/s","0 kB/s","58.8 kB/s","1.78 GB/s","0 kB/s","3.22 GB/s","1.78 GB/s","0 kB/s","58.8 kB/s","3.23 GB/s","0 kB/s","1.78 GB/s"
"2023-04-16 13:50:45","1681627845000","0%","0%","0%","5.20%","2.20%","5.60%","12.9%","381 MiB","34.0 MiB","415 MiB","139 MiB","3.21 GB/s","0 kB/s","58.8 kB/s","1.78 GB/s","0 kB/s","3.22 GB/s","1.78 GB/s","0 kB/s","58.8 kB/s","3.23 GB/s","0 kB/s","1.78 GB/s"
"2023-04-16 13:50:50","1681627850000","0%","0%","0%","4.50%","1.70%","6.50%","14.2%","381 MiB","34.0 MiB","415 MiB","139 MiB","3.71 GB/s","0 kB/s","19.6 kB/s","2.34 GB/s","0 kB/s","3.72 GB/s","2.34 GB/s","0 kB/s","19.6 kB/s","3.72 GB/s","0 kB/s","2.34 GB/s"
