timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680322022895,2171,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-4,text,true,,9606,179,8,8,https://rcie.nuttchai.app/api/v1/search?offset=14443&limit=32&isHiddenRequired=true,2154,0,847
1680322022363,2741,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-3,text,true,,20587,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=46432&limit=70&isHiddenRequired=true,2708,0,1379
1680322023964,2263,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-6,text,true,,2894626,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=3122&limit=10423&isHiddenRequired=true,1630,0,147
1680322021440,5232,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-1,text,true,,4056751,182,8,8,https://rcie.nuttchai.app/api/v1/search?offset=24565&limit=14686&isHiddenRequired=true,4101,0,2302
1680322025565,1278,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-9,text,true,,2826410,182,7,7,https://rcie.nuttchai.app/api/v1/search?offset=22208&limit=10264&isHiddenRequired=true,600,0,121
1680322024498,2668,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-7,text,true,,4085441,182,7,7,https://rcie.nuttchai.app/api/v1/search?offset=21536&limit=14840&isHiddenRequired=true,1207,0,147
1680322026631,2601,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,6909,179,9,9,https://rcie.nuttchai.app/api/v1/search?offset=43104&limit=23&isHiddenRequired=true,2601,0,661
1680322027163,2080,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-12,text,true,,2991025,182,8,8,https://rcie.nuttchai.app/api/v1/search?offset=11499&limit=10654&isHiddenRequired=true,1753,0,122
1680322027698,3130,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-13,text,true,,3593322,182,10,10,https://rcie.nuttchai.app/api/v1/search?offset=18219&limit=12949&isHiddenRequired=true,2126,0,119
1680322029298,2041,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-16,text,true,,3981611,182,10,10,https://rcie.nuttchai.app/api/v1/search?offset=23443&limit=14443&isHiddenRequired=true,1422,0,115
1680322030363,1227,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-18,text,true,,24577,179,10,10,https://rcie.nuttchai.app/api/v1/search?offset=17472&limit=88&isHiddenRequired=true,1193,0,119
