timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681627132014,2211,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-6,text,true,,62092,317,10,10,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=21289&limit=230,2145,0,124
1681627130944,3401,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-4,text,true,,4302088,181,9,9,https://rcie.nuttchai.app/api/v1/search?offset=5724&limit=15450&isHiddenRequired=true,2310,0,639
1681627131478,3855,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-5,text,true,,5516963,181,10,10,https://rcie.nuttchai.app/api/v1/search?offset=1372&limit=19853&isHiddenRequired=true,1807,0,117
1681627129481,6167,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,152025,321,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=24572&limit=552,5953,0,2119
1681627134682,1244,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,37486,336,9,9,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=16490&limit=128,1211,0,115
1681627134149,1838,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-10,text,true,,58381,333,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=5960&limit=202,1773,0,122
1681627132548,3490,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-7,text,true,,151738,324,7,7,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=46815&limit=546,3389,0,134
1681627129881,6214,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-2,text,true,,191163,323,6,6,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=18365&limit=690,6122,0,1689
1681627130411,5934,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-3,text,true,,282017,334,6,6,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=4091&limit=980,5803,0,1172
1681627133080,3385,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-8,text,true,,4769517,181,5,5,https://rcie.nuttchai.app/api/v1/search?offset=9601&limit=17115&isHiddenRequired=true,1639,0,142
1681627133614,2916,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-9,text,true,,4602083,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=29704&limit=16441&isHiddenRequired=true,1665,0,112
1681627136283,407,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-14,text,true,,5646,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=38397&limit=18&isHiddenRequired=true,407,0,110
1681627136815,390,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-15,text,true,,8178,179,3,3,https://rcie.nuttchai.app/api/v1/search?offset=48592&limit=26&isHiddenRequired=true,390,0,113
1681627135748,1967,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-13,text,true,,5289421,181,3,3,https://rcie.nuttchai.app/api/v1/search?offset=2198&limit=18983&isHiddenRequired=true,759,0,120
1681627135216,3384,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-12,text,true,,246741,321,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=46742&limit=900,3256,0,116
1681627137349,1310,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-16,text,true,,89384,327,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=28046&limit=318,1241,0,123
1681627138415,1561,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-18,text,true,,5089645,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=19937&limit=18289&isHiddenRequired=true,588,0,110
1681627140015,495,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-21,text,true,,13618,178,4,4,https://rcie.nuttchai.app/api/v1/search?offset=8460&limit=48&isHiddenRequired=true,465,0,109
