timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681599026412,4058,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,26143,179,9,9,https://rcie.nuttchai.app/api/v1/search?offset=10018&limit=94&isHiddenRequired=true,4033,0,2980
1681599028663,2175,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-6,text,true,,3474,179,9,9,https://rcie.nuttchai.app/api/v1/search?offset=14152&limit=11&isHiddenRequired=true,2175,0,755
1681599026528,4374,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-2,text,true,,4710,179,8,8,https://rcie.nuttchai.app/api/v1/search?offset=15014&limit=16&isHiddenRequired=true,4374,0,2883
1681599027060,3859,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-3,text,true,,11041,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=16062&limit=39&isHiddenRequired=true,3827,0,2352
1681599029198,1833,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-7,text,true,,7218,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=16825&limit=25&isHiddenRequired=true,1833,0,294
1681599030264,1142,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-9,text,true,,21979,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=38547&limit=73&isHiddenRequired=true,1109,0,123
1681599030798,1599,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-10,text,true,,4891665,181,6,6,https://rcie.nuttchai.app/api/v1/search?offset=8711&limit=17593&isHiddenRequired=true,787,0,112
1681599031865,540,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-12,text,true,,18742,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=22553&limit=67&isHiddenRequired=true,508,0,118
1681599027595,4833,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-4,text,true,,5199598,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=27482&limit=18557&isHiddenRequired=true,3589,0,1819
1681599031331,1144,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-11,text,true,,4819509,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=13671&limit=17281&isHiddenRequired=true,539,0,116
1681599029735,3626,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-8,text,true,,202083,319,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=5917&limit=740,3532,0,130
1681599032932,573,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-14,text,true,,3989,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=16719&limit=13&isHiddenRequired=true,573,0,115
1681599028131,5475,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-5,text,true,,238249,320,3,3,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=6274&limit=867,5319,0,1285
1681599033465,410,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-15,text,true,,10397,179,2,2,https://rcie.nuttchai.app/api/v1/search?offset=45564&limit=36&isHiddenRequired=true,381,0,112
