timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681627719330,3366,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-4,text,true,,92711,320,10,10,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=6886&limit=335,3297,0,690
1681627718265,4466,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-2,text,true,,4556055,181,9,9,https://rcie.nuttchai.app/api/v1/search?offset=5757&limit=16320&isHiddenRequired=true,3119,0,1754
1681627717909,4935,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-1,text,true,,4417890,181,8,8,https://rcie.nuttchai.app/api/v1/search?offset=4090&limit=15821&isHiddenRequired=true,3571,0,2111
1681627721997,1079,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-9,text,true,,12871,179,8,8,https://rcie.nuttchai.app/api/v1/search?offset=11256&limit=45&isHiddenRequired=true,1047,0,121
1681627720397,3240,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-6,text,true,,162466,316,8,8,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=4602&limit=601,3140,0,122
1681627721463,2265,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-8,text,true,,4675061,181,7,7,https://rcie.nuttchai.app/api/v1/search?offset=1209&limit=16707&isHiddenRequired=true,1016,0,142
1681627723068,712,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,27232,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=49157&limit=97&isHiddenRequired=true,678,0,118
1681627718796,5542,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-3,text,true,,222732,335,6,6,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=43084&limit=771,5356,0,1223
1681627724135,214,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-13,text,true,,7773,177,5,5,https://rcie.nuttchai.app/api/v1/search?offset=464&limit=26&isHiddenRequired=true,214,0,121
1681627722531,1971,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-10,text,true,,4484594,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=26214&limit=16044&isHiddenRequired=true,1149,0,117
1681627724668,294,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-14,text,true,,13752,178,4,4,https://rcie.nuttchai.app/api/v1/search?offset=9752&limit=46&isHiddenRequired=true,263,0,113
1681627723600,2289,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-12,text,true,,4524536,182,5,5,https://rcie.nuttchai.app/api/v1/search?offset=24217&limit=16249&isHiddenRequired=true,520,0,112
