timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681580469416,1594,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-5,text,true,,17411,179,7,7,https://rcie.nuttchai.app/api/v1/search?offset=23571&limit=60&isHiddenRequired=true,1563,0,450
1681580468846,2178,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-4,text,true,,18179,179,6,6,https://rcie.nuttchai.app/api/v1/search?offset=12059&limit=64&isHiddenRequired=true,2146,0,1020
1681580471693,477,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-9,text,true,,15056,178,7,7,https://rcie.nuttchai.app/api/v1/search?offset=5124&limit=54&isHiddenRequired=true,445,0,120
1681580468277,3937,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-3,text,true,,5086678,181,6,6,https://rcie.nuttchai.app/api/v1/search?offset=4439&limit=18225&isHiddenRequired=true,2646,0,1587
1681580469985,2477,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-6,text,true,,5279729,182,6,6,https://rcie.nuttchai.app/api/v1/search?offset=24216&limit=18886&isHiddenRequired=true,1566,0,118
1681580467711,4927,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-2,text,true,,112619,323,5,5,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=47597&limit=406,4830,0,2153
1681580470556,2197,Large Search Product - CPU - L | MEM - H,200,OK,[Thread Group] Thread 1 1-7,text,true,,4693752,182,4,4,https://rcie.nuttchai.app/api/v1/search?offset=16998&limit=16783&isHiddenRequired=true,1278,0,131
1681580467364,5838,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-1,text,true,,176870,321,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=36952&limit=644,5743,0,2500
1681580472830,587,Small Search Product - CPU - L | MEM - L,200,OK,[Thread Group] Thread 1 1-11,text,true,,26252,179,4,4,https://rcie.nuttchai.app/api/v1/search?offset=13179&limit=94&isHiddenRequired=true,541,0,110
1681580471124,3091,Update Product - CPU - H | MEM - L,200,OK,[Thread Group] Thread 1 1-8,text,true,,219251,319,4,4,https://rcie.nuttchai.app/api/v1/admin/product/bulk?offset=3832&limit=803,2963,0,113
