sep=,
"Time","br-10cd1f6f3899 receive","docker0 receive","eth0 receive","eth1 receive","lo receive","veth6750e95 receive"
2023-03-24 11:57:15,1.85 GB/s,0 kB/s,18.2 MB/s,1.24 GB/s,0 kB/s,1.85 GB/s
2023-03-24 11:57:30,1.71 GB/s,0 kB/s,16.8 MB/s,1.47 GB/s,0 kB/s,1.72 GB/s
2023-03-24 11:57:45,2.05 GB/s,0 kB/s,38.0 MB/s,1.22 GB/s,0 kB/s,2.06 GB/s
2023-03-24 11:58:00,1.47 GB/s,0 kB/s,19.5 MB/s,1.21 GB/s,0 kB/s,1.47 GB/s
2023-03-24 11:58:15,1.89 GB/s,0 kB/s,19.5 MB/s,1.22 GB/s,0 kB/s,1.90 GB/s
2023-03-24 11:58:30,1.61 GB/s,0 kB/s,17.6 MB/s,1.40 GB/s,0 kB/s,1.61 GB/s
2023-03-24 11:58:45,1.97 GB/s,0 kB/s,25.4 MB/s,1.13 GB/s,0 kB/s,1.98 GB/s
2023-03-24 11:59:00,1.77 GB/s,0 kB/s,26.4 MB/s,1.21 GB/s,0 kB/s,1.78 GB/s
2023-03-24 11:59:15,1.54 GB/s,0 kB/s,19.0 MB/s,1.05 GB/s,0 kB/s,1.55 GB/s
2023-03-24 11:59:30,1.55 GB/s,0 kB/s,13.5 MB/s,1.38 GB/s,0 kB/s,1.56 GB/s
2023-03-24 11:59:45,1.95 GB/s,0 kB/s,20.4 MB/s,1.12 GB/s,0 kB/s,1.96 GB/s
2023-03-24 12:00:00,1.82 GB/s,0 kB/s,23.3 MB/s,1.45 GB/s,0 kB/s,1.82 GB/s
2023-03-24 12:00:15,1.90 GB/s,0 kB/s,25.1 MB/s,1.17 GB/s,0 kB/s,1.91 GB/s
2023-03-24 12:00:30,2.04 GB/s,0 kB/s,20.7 MB/s,1.58 GB/s,0 kB/s,2.04 GB/s
2023-03-24 12:00:45,1.66 GB/s,0 kB/s,19.4 MB/s,1.11 GB/s,0 kB/s,1.66 GB/s
2023-03-24 12:01:00,1.77 GB/s,0 kB/s,20.6 MB/s,1.52 GB/s,0 kB/s,1.78 GB/s
2023-03-24 12:01:15,1.84 GB/s,0 kB/s,17.7 MB/s,1.07 GB/s,0 kB/s,1.84 GB/s
2023-03-24 12:01:30,2.02 GB/s,0 kB/s,18.1 MB/s,1.43 GB/s,0 kB/s,2.03 GB/s
2023-03-24 12:01:45,1.60 GB/s,0 kB/s,20.0 MB/s,1.17 GB/s,0 kB/s,1.61 GB/s
2023-03-24 12:02:00,1.95 GB/s,0 kB/s,22.9 MB/s,1.67 GB/s,0 kB/s,1.96 GB/s
2023-03-24 12:02:15,1.66 GB/s,0 kB/s,16.3 MB/s,938 MB/s,0 kB/s,1.67 GB/s
2023-03-24 12:02:30,2.15 GB/s,0 kB/s,26.1 MB/s,1.65 GB/s,0 kB/s,2.16 GB/s
2023-03-24 12:02:45,1.90 GB/s,0 kB/s,19.3 MB/s,1.22 GB/s,0 kB/s,1.91 GB/s
2023-03-24 12:03:00,2.12 GB/s,0 kB/s,37.7 MB/s,1.52 GB/s,0 kB/s,2.12 GB/s
2023-03-24 12:03:15,1.60 GB/s,0 kB/s,25.2 MB/s,1.16 GB/s,0 kB/s,1.60 GB/s
2023-03-24 12:03:30,1.63 GB/s,0 kB/s,24.6 MB/s,1.28 GB/s,0 kB/s,1.63 GB/s
2023-03-24 12:03:45,1.75 GB/s,0 kB/s,23.4 MB/s,1.15 GB/s,0 kB/s,1.76 GB/s
2023-03-24 12:04:00,1.84 GB/s,0 kB/s,20.1 MB/s,1.56 GB/s,0 kB/s,1.84 GB/s
2023-03-24 12:04:15,1.97 GB/s,0 kB/s,32.4 MB/s,1.20 GB/s,0 kB/s,1.98 GB/s
2023-03-24 12:04:30,2.10 GB/s,0 kB/s,24.3 MB/s,1.48 GB/s,0 kB/s,2.11 GB/s
2023-03-24 12:04:45,1.59 GB/s,0 kB/s,19.3 MB/s,1.05 GB/s,0 kB/s,1.59 GB/s
2023-03-24 12:05:00,1.42 GB/s,0 kB/s,21.0 MB/s,1.15 GB/s,0 kB/s,1.42 GB/s
2023-03-24 12:05:15,1.80 GB/s,0 kB/s,15.2 MB/s,1.20 GB/s,0 kB/s,1.80 GB/s
2023-03-24 12:05:30,1.73 GB/s,0 kB/s,18.4 MB/s,1.26 GB/s,0 kB/s,1.73 GB/s
2023-03-24 12:05:45,1.49 GB/s,0 kB/s,19.0 MB/s,1.29 GB/s,0 kB/s,1.49 GB/s
2023-03-24 12:06:00,2.13 GB/s,0 kB/s,31.2 MB/s,1.59 GB/s,0 kB/s,2.14 GB/s
2023-03-24 12:06:15,1.67 GB/s,0 kB/s,22.4 MB/s,1.47 GB/s,0 kB/s,1.68 GB/s
2023-03-24 12:06:30,1.91 GB/s,0 kB/s,29.4 MB/s,1.36 GB/s,0 kB/s,1.92 GB/s
2023-03-24 12:06:45,1.56 GB/s,0 kB/s,15.2 MB/s,1.40 GB/s,0 kB/s,1.56 GB/s
2023-03-24 12:07:00,2.07 GB/s,0 kB/s,21.1 MB/s,1.53 GB/s,0 kB/s,2.07 GB/s
2023-03-24 12:07:15,1.82 GB/s,0 kB/s,17.1 MB/s,1.53 GB/s,0 kB/s,1.82 GB/s
2023-03-24 12:07:30,2.47 GB/s,0 kB/s,29.8 MB/s,1.80 GB/s,0 kB/s,2.48 GB/s
2023-03-24 12:07:45,2.13 GB/s,0 kB/s,26.6 MB/s,1.86 GB/s,0 kB/s,2.14 GB/s
2023-03-24 12:08:00,2.38 GB/s,0 kB/s,27.6 MB/s,1.76 GB/s,0 kB/s,2.39 GB/s
2023-03-24 12:08:15,2.44 GB/s,0 kB/s,23.6 MB/s,1.85 GB/s,0 kB/s,2.45 GB/s
2023-03-24 12:08:30,2.74 GB/s,0 kB/s,27.0 MB/s,2.20 GB/s,0 kB/s,2.75 GB/s
2023-03-24 12:08:45,2.88 GB/s,0 kB/s,33.5 MB/s,1.96 GB/s,0 kB/s,2.89 GB/s
2023-03-24 12:09:00,2.20 GB/s,0 kB/s,27.3 MB/s,1.80 GB/s,0 kB/s,2.21 GB/s
2023-03-24 12:09:15,2.64 GB/s,0 kB/s,32.5 MB/s,1.65 GB/s,0 kB/s,2.65 GB/s
2023-03-24 12:09:30,2.88 GB/s,0 kB/s,41.0 MB/s,2.29 GB/s,0 kB/s,2.89 GB/s
2023-03-24 12:09:45,2.92 GB/s,0 kB/s,30.7 MB/s,1.83 GB/s,0 kB/s,2.93 GB/s
2023-03-24 12:10:00,2.64 GB/s,0 kB/s,46.3 MB/s,1.97 GB/s,0 kB/s,2.65 GB/s
2023-03-24 12:10:15,2.69 GB/s,0 kB/s,35.8 MB/s,1.65 GB/s,0 kB/s,2.70 GB/s
2023-03-24 12:10:30,2.17 GB/s,0 kB/s,26.9 MB/s,1.61 GB/s,0 kB/s,2.17 GB/s
2023-03-24 12:10:45,3.00 GB/s,0 kB/s,34.1 MB/s,1.96 GB/s,0 kB/s,3.01 GB/s
2023-03-24 12:11:00,2.49 GB/s,0 kB/s,26.5 MB/s,1.89 GB/s,0 kB/s,2.50 GB/s
2023-03-24 12:11:15,2.99 GB/s,0 kB/s,30.5 MB/s,1.91 GB/s,0 kB/s,3.00 GB/s
2023-03-24 12:11:30,2.73 GB/s,0 kB/s,32.5 MB/s,2.01 GB/s,0 kB/s,2.74 GB/s
2023-03-24 12:11:45,2.94 GB/s,0 kB/s,32.2 MB/s,1.94 GB/s,0 kB/s,2.95 GB/s
2023-03-24 12:12:00,2.44 GB/s,0 kB/s,28.9 MB/s,1.62 GB/s,0 kB/s,2.45 GB/s
2023-03-24 12:12:15,2.53 GB/s,0 kB/s,40.6 MB/s,1.83 GB/s,0 kB/s,2.54 GB/s
2023-03-24 12:12:30,3.04 GB/s,0 kB/s,32.0 MB/s,2.05 GB/s,0 kB/s,3.05 GB/s
2023-03-24 12:12:45,2.91 GB/s,0 kB/s,40.3 MB/s,2.26 GB/s,0 kB/s,2.92 GB/s
2023-03-24 12:13:00,2.75 GB/s,0 kB/s,29.6 MB/s,1.84 GB/s,0 kB/s,2.76 GB/s
2023-03-24 12:13:15,2.92 GB/s,0 kB/s,38.5 MB/s,2.14 GB/s,0 kB/s,2.93 GB/s
2023-03-24 12:13:30,2.86 GB/s,0 kB/s,43.7 MB/s,1.71 GB/s,0 kB/s,2.87 GB/s
2023-03-24 12:13:45,2.72 GB/s,0 kB/s,47.9 MB/s,2.03 GB/s,0 kB/s,2.73 GB/s
2023-03-24 12:14:00,2.61 GB/s,0 kB/s,27.9 MB/s,1.78 GB/s,0 kB/s,2.62 GB/s
2023-03-24 12:14:15,2.77 GB/s,0 kB/s,34.9 MB/s,2.09 GB/s,0 kB/s,2.78 GB/s
2023-03-24 12:14:30,2.61 GB/s,0 kB/s,29.1 MB/s,1.72 GB/s,0 kB/s,2.62 GB/s
2023-03-24 12:14:45,2.48 GB/s,0 kB/s,28.4 MB/s,1.91 GB/s,0 kB/s,2.49 GB/s
2023-03-24 12:15:00,2.61 GB/s,0 kB/s,36.7 MB/s,1.72 GB/s,0 kB/s,2.62 GB/s
2023-03-24 12:15:15,2.60 GB/s,0 kB/s,26.1 MB/s,2.03 GB/s,0 kB/s,2.61 GB/s
2023-03-24 12:15:30,3.07 GB/s,0 kB/s,44.1 MB/s,2.24 GB/s,0 kB/s,3.08 GB/s
2023-03-24 12:15:45,2.84 GB/s,0 kB/s,30.4 MB/s,2.31 GB/s,0 kB/s,2.85 GB/s
2023-03-24 12:16:00,2.68 GB/s,0 kB/s,37.9 MB/s,2.06 GB/s,0 kB/s,2.69 GB/s
2023-03-24 12:16:15,2.44 GB/s,0 kB/s,36.6 MB/s,1.93 GB/s,0 kB/s,2.45 GB/s
2023-03-24 12:16:30,2.63 GB/s,0 kB/s,42.6 MB/s,1.88 GB/s,0 kB/s,2.64 GB/s
2023-03-24 12:16:45,2.28 GB/s,0 kB/s,34.0 MB/s,1.89 GB/s,0 kB/s,2.29 GB/s
2023-03-24 12:17:00,2.50 GB/s,0 kB/s,32.9 MB/s,1.98 GB/s,0 kB/s,2.51 GB/s
2023-03-24 12:17:15,2.64 GB/s,0 kB/s,26.8 MB/s,2.03 GB/s,0 kB/s,2.65 GB/s
2023-03-24 12:17:30,2.25 GB/s,0 kB/s,30.6 MB/s,1.62 GB/s,0 kB/s,2.26 GB/s
2023-03-24 12:17:45,2.51 GB/s,0 kB/s,27.7 MB/s,2.08 GB/s,0 kB/s,2.52 GB/s
2023-03-24 12:18:00,9.96 GB/s,0 kB/s,110 MB/s,7.20 GB/s,0 kB/s,10.0 GB/s
2023-03-24 12:18:15,9.74 GB/s,0 kB/s,99.7 MB/s,6.89 GB/s,0 kB/s,9.78 GB/s
2023-03-24 12:18:30,9.53 GB/s,0 kB/s,106 MB/s,7.32 GB/s,0 kB/s,9.58 GB/s
